##  STRING NAME (do not change!);English;;;;;;;;;;X
## ;;;;;;;;;;;X
##  Technology System Techs below here..;;;;;;;;;;;X
##;;;;;;;;;;;X
RT_ARTILLERY;포병학 ;;;;;;;;;;X
RT_MECHANICS;기계학 ;;;;;;;;;;X
RT_ELECTRONICS;전자공학 ;;;;;;;;;;X
RT_CHEMISTRY;화학 ;;;;;;;;;;X
RT_TRAINING;훈련 ;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;통용장비 ;;;;;;;;;;X
RT_ROCKETRY;로켓공학 ;;;;;;;;;;X
RT_NAVAL_ENGINEERING;해군기관학 ;;;;;;;;;;X
RT_AERONAUTICS;항공학 ;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;핵물리학 ;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;원자공학 ;;;;;;;;;;X
RT_MANAGEMENT;경영학 ;;;;;;;;;;X
RT_INDUSTRIAL_ENGINEERING;산업공학 ;;;;;;;;;;X
RT_MATHEMATICS;수학 ;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;소부대 전술 ;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;대부대 전술 ;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;집중행동 ;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;분산행동 ;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;기술효율 ;;;;;;;;;;X
RT_INDIVIDUAL_COURAGE;감투정신 ;;;;;;;;;;X
RT_INFANTRY_FOCUS;보병집중 ;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;제병군 집중 ;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;대부대 집중 ;;;;;;;;;;X
RT_NAVAL_ARTILLERY;해군포술 ;;;;;;;;;;X
RT_NAVAL_TRAINING;해군훈련 ;;;;;;;;;;X
RT_AIRCRAFT_TESTING;항공기 실험 ;;;;;;;;;;X
RT_FIGHTER_TACTICS;전투기 전술 ;;;;;;;;;;X
RT_BOMBER_TACTICS;폭격기 전술 ;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;대부대 기동전술 ;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;소부대 기동전술 ;;;;;;;;;;X
RT_SEAMANSHIP;선박 조종술 ;;;;;;;;;;X
RT_PILOTING;항공기 조종술 ;;;;;;;;;;X
RT_SUBMARINE_TACTICS;잠수함 전술 ;;;;;;;;;;X
RT_CARRIER_TACTICS;항공모함 전술 ;;;;;;;;;;X
RT_AVIONICS;항공전자 공학 ;;;;;;;;;;X
RT_MUNITIONS;군수품 ;;;;;;;;;;X
RT_VEHICLE_ENGINEERING;차량 공학 ;;;;;;;;;;X
RT_CARRIER_DESIGN;항공모함 설계 ;;;;;;;;;;X
RT_SUBMARINE_DESIGN;잠수함 설계 ;;;;;;;;;;X
RT_FIGHTER_DESIGN;전투기 설계;;;;;;;;;;X
RT_BOMBER_DESIGN;폭격기 설계;;;;;;;;;;X
RT_MOUNTAIN_TRAINING;산악훈련 ;;;;;;;;;;X
RT_AIRBORNE_TRAINING;공수강하훈련 ;;;;;;;;;;X
RT_MARINE_TRAINING;해병훈련 ;;;;;;;;;;X
RT_MANEUVER_TACTICS;기동전술 ;;;;;;;;;;X
RT_BLITZKRIEG_TACTICS;전격전 전술 ;;;;;;;;;;X
RT_STATIC_DEFENSE_TACTICS;고정방어 전술 ;;;;;;;;;;X
RT_MEDICINE;의학 ;;;;;;;;;;X
RT_CAVALRY_TACTICS;기병전술 ;;;;;;;;;;X
RT_USER_1;사용자 기술 요소 1;;;;;;;;;;X
RT_USER_2;사용자 기술 요소 2;;;;;;;;;;X
RT_USER_3;사용자 기술 요소 3;;;;;;;;;;X
RT_USER_4;사용자 기술 요소 4;;;;;;;;;;X
RT_USER_5;사용자 기술 요소 5;;;;;;;;;;X
RT_USER_6;사용자 기술 요소 6;;;;;;;;;;X
RT_USER_7;사용자 기술 요소 7;;;;;;;;;;X
RT_USER_8;사용자 기술 요소 8;;;;;;;;;;X
RT_USER_9;사용자 기술 요소 9;;;;;;;;;;X
RT_USER_10;사용자 기술 요소 10;;;;;;;;;;X
RT_USER_11;사용자 기술 요소 11;;;;;;;;;;X
RT_USER_12;사용자 기술 요소 12;;;;;;;;;;X
RT_USER_13;사용자 기술 요소 13;;;;;;;;;;X
RT_USER_14;사용자 기술 요소 14;;;;;;;;;;X
RT_USER_15;사용자 기술 요소 15;;;;;;;;;;X
RT_USER_16;사용자 기술 요소 16;;;;;;;;;;X
RT_USER_17;사용자 기술 요소 17;;;;;;;;;;X
RT_USER_18;사용자 기술 요소 18;;;;;;;;;;X
RT_USER_19;사용자 기술 요소 19;;;;;;;;;;X
RT_USER_20;사용자 기술 요소 20;;;;;;;;;;X
RT_USER_21;사용자 기술 요소 21;;;;;;;;;;X
RT_USER_22;사용자 기술 요소 22;;;;;;;;;;X
