# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
# Countries!;;;;;;;;;;;X
##;;;;;;;;;;;X
AFG;아프가니스탄 ;Afghanistan;;;;;;;;;X
ALB;알바니아 ;Albania;;;;;;;;;X
ALG;알제리 ;Algeria;;;;;;;;;X
ALI;외계인 ;Alien Invaders;;;;;;;;;X
ALS;연합국 ;The Allies;;;;;;;;;X
ANG;앙골라 ;Angola;;;;;;;;;X
ARA;아랍 연맹 ;Arab Federation;;;;;;;;;X
ARG;아르헨티나 ;Argentina;;;;;;;;;X
ARM;아르메니아 ;Armenia;;;;;;;;;X
AST;오스트레일리아 ;Australia;;;;;;;;;X
AUS;오스트리아 ;Austria;;;;;;;;;X
AXI;추축국 ;The Axis;;;;;;;;;X
AZB;아제르바이잔 ;Azerbaijan;;;;;;;;;X
BEL;벨기에 ;Belgium;;;;;;;;;X
BEN;베냉 ;Benin-Sahel;;;;;;;;;X
BHU;부탄 ;Bhutan;;;;;;;;;X
BLR;벨라루스 ;Byelorussia;;;;;;;;;X
BOL;볼리비아 ;Bolivia;;;;;;;;;X
BOS;보스니아 ;Bosnia;;;;;;;;;X
BRA;브라질 ;Brazil;;;;;;;;;X
BRU;브루나이 ;Brunei;;;;;;;;;X
BUL;불가리아 ;Bulgaria;;;;;;;;;X
BUR;버마 ;Burma;;;;;;;;;X
CAL;캘리포니아 ;California;;;;;;;;;X
CAM;카메룬 ;Cameroon;;;;;;;;;X
CAN;캐나다 ;Canada;;;;;;;;;X
CGX;광서 군벌 ;Guangxi Clique;;;;;;;;;X
CHC;중국 공산당 ;Communist China;;;;;;;;;X
CHI;중화민국 ;Nationalist China;;;;;;;;;X
CHL;칠레 ;Chile;;;;;;;;;X
CMB;캄보디아 ;Cambodia;;;;;;;;;X
COL;콜롬비아 ;Colombia;;;;;;;;;X
CON;콩고 ;Congo;;;;;;;;;X
COS;코스타리카 ;Costa Rica;;;;;;;;;X
CRO;크로아티아 ;Croatia;;;;;;;;;X
CSA;아메리카남부맹방 ;Confederate States;;;;;;;;;X
CSX;산서 군벌 ;Shanxi Clique;;;;;;;;;X
CUB;쿠바 ;Cuba;;;;;;;;;X
CXB;서북 군벌 ;San Ma Clique;;;;;;;;;X
CYN;운남 군벌 ;Yunnan Clique;;;;;;;;;X
CYP;키프로스 ;Cyprus;;;;;;;;;X
CZE;체코슬로바키아 ;Czechoslovakia;;;;;;;;;X
DDR;독일민주공화국 ;GDR;;;;;;;;;X
DEN;덴마크 ;Denmark;;;;;;;;;X
DFR;독일연방공화국 ;FRG;;;;;;;;;X
DOM;도미니카 공화국 ;Dominican Republic;;;;;;;;;X
EAF;동아프리카연방 ;East African Union;;;;;;;;;X
ECU;에콰도르 ;Ecuador;;;;;;;;;X
EGY;이집트 ;Egypt;;;;;;;;;X
ENG;영국 ;United Kingdom;;;;;;;;;X
EQA;적도 아프리카 ;Equatorial Africa;;;;;;;;;X
EST;에스토니아 ;Estonia;;;;;;;;;X
ETH;에티오피아 ;Abyssinia;;;;;;;;;X
EUS;바스크 ;Euskadi;;;;;;;;;X
FIN;핀란드 ;Finland;;;;;;;;;X
FLA;플란데런 ;Flanders;;;;;;;;;X
FRA;프랑스 ;France;;;;;;;;;X
GAB;가봉 ;Gabon;;;;;;;;;X
GEO;조지아 ;Georgia;;;;;;;;;X
GER;독일 ;Germany;;;;;;;;;X
GLD;가나 ;Ghana;;;;;;;;;X
GRE;그리스 ;Greece;;;;;;;;;X
GUA;과테말라 ;Guatemala;;;;;;;;;X
GUI;기니 ;Guinea;;;;;;;;;X
