CYN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
615001;윈난 군사학교 ;100732;1;1907;1916;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615002;윈난 군사학교 ;100732;2;1916;1928;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615003;윈난 군사학교 ;100732;3;1928;1945;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615004;윈난 군사학교 ;100732;4;1945;1999;training;small_unit_tactics;infantry_focus;individual_courage;centralized_execution;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615005;남서대학교 ;100733;1;1906;1926;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615006;남서대학교 ;100733;2;1926;1945;mathematics;chemistry;medicine;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615007;남서대학교 ;100733;4;1945;1999;mathematics;chemistry;medicine;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615008;동루대학교 ;100734;1;1922;1934;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615009;윈난대학교 ;100734;2;1934;1937;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615010;윈난대학교 ;100734;3;1937;1947;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615011;윈난대학교 ;100734;4;1947;1999;mathematics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615012;장우 군관 학교 ;100735;2;1909;1928;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615013;윈난 주석회사 ;100736;2;1883;1928;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615014;윈난 주석회사 ;100736;3;1928;1999;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615015;북윈난 광학전기 ;100737;1;1936;1999;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615016;운월 철도회사 ;100738;1;1904;1999;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615017;롱윈 ;100739;2;1930;1999;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615018;루한 ;100740;2;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615019;윈난 병기회사 ;100394;1;1900;1928;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615020;윈난 병기회사 ;100394;2;1928;1945;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615021;윈난 병기회사 ;100394;3;1945;1999;mechanics;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615022;샤오관 항공기 공장 ;100730;1;1936;1945;aeronautics;general_equipment;aircraft_testing;bomber_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615023;량진산 ;100741;2;1933;1977;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615024;탕지야오 ;100065;2;1909;1928;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615025;차이어 ;100767;4;1900;1917;large_unit_tactics;infantry_focus;individual_courage;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615026;중앙 기계공업소 ;100777;3;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
615027;제53 병기창 ;100768;3;1941;1999;mechanics;munitions;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
