U03;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
830001;인도차이나 철도 ;100631;3;1900;1970;mechanics;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830002;하이퐁 시멘트 ;100632;2;1900;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830003;사이공 병기창 ;100633;2;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830004;하노이 병기창 ;T9800;2;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830005;인도차이나 대학교 ;100634;1;1906;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830006;르노 인도차이나 ;100635;2;1914;1970;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830007;오리앙 항공 ;100636;1;1928;1970;aeronautics;mechanics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830008;탄손낫 공군기지 ;100637;1;1930;1970;aeronautics;chemistry;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830009;루이 칸 ;100638;2;1935;1940;naval_artillery;submarine_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830010;장 드쿠 ;100639;2;1940;1945;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830011;레옹 귀스타브 롬바르 ;team_noimage;2;1900;1932;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830012;폴 르 정띠옴므 ;100640;1;1920;1940;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830013;알베르 루이 위제 ;team_noimage;1;1900;1918;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830014;피에르 푸야드 ;100641;2;1940;1970;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830015;EMIA 드 달라 ;100642;1;1945;1970;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830016;알렉산드르 예르생 ;100643;4;1900;1943;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
830017;파스퇴르 협회 ;100485;2;1900;1970;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
