U21;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
920001;볼보 노동조합 ;T3210;6;1900;1970;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920002;예타베르켄 노동조합 ;T3202;5;1900;1970;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920003;란스베르크 ;T3206;6;1900;1970;mechanics;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920004;스베드베리스 ;T3213;6;1900;1970;nuclear_physics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920005;스웨덴 인민 항공연구협회 ;T3208;6;1930;1970;aeronautics;industrial_engineering;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920006;스웨덴 인민 해양연구협회 ;T3205;5;1900;1970;mechanics;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920007;칼스크로나 조선소 노동조합 ;T3204;6;1900;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920008;아르네 베울링 ;T3200;7;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920009;스웨덴 군수 노동조합 ;100331;7;1900;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920010;스웨덴 인민군 ;100332;5;1900;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920011;합동전기회사 ;100286;7;1900;1970;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920012;인민 수송위원회 ;100333;6;1900;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920013;벵트 노르덴스키욀드 ;T3211;5;1930;1970;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920014;헬게 융 ;T3212;5;1944;1951;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920015;예스타 에렌스베르드 ;T3216;5;1939;1960;small_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920016;만네 시에그반 ;T3217;6;1930;1970;nuclear_physics;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920017;닐스 스베들룬드 ;T3218;5;1951;1961;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920018;토르스텐 라프 ;T3219;5;1930;1970;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
920019;인민 국방위원회 ;100499;3;1930;1970;centralized_execution;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
