USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
240005;포드 자동차 회사 ;T104;9;1903;1970;mechanics;industrial_engineering;aeronautics;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240018;캘리포니아 스탠다드 오일 ;T117;8;1879;1970;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240019;텍사스 오일 회사 ;T118;9;1901;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240029;제네럴 일렉트릭 ;T128;7;1878;1970;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240014;레이시언 ;T113;8;1930;1970;electronics;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240033;IBM ;100366;8;1924;1970;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240007;존 폰 노이만 ;T106;8;1937;1957;chemistry;mechanics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240016;로버트 트루액스 ;T115;6;1936;1967;rocketry;technical_efficiency;chemistry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240038;라이먼 브리그스 ;100447;5;1936;1940;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240015;로버트 오펜하이머 ;T114;9;1941;1953;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240012;에드워드 텔러 ;T111;8;1951;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240017;스프링필드 병기창 ;T116;7;1819;1970;munitions;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240020;윈체스터 연발총 제조회사 ;T119;7;1866;1970;general_equipment;mechanics;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240002;월터 크리스티 ;T101;6;1912;1944;mechanics;artillery;technical_efficiency;vehicle_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240009;디트로이트 탱크 공장;T108;8;1940;1970;mechanics;technical_efficiency;munitions;vehicle_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240045;존 홀란드 ;100449;7;1897;1914;naval_engineering;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240010;뉴포트 뉴스 조선소 ;100069;8;1907;1970;naval_engineering;technical_efficiency;naval_artillery;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240011;뉴욕 조선소 ;T110;7;1890;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240013;노퍽 조선소 ;T112;7;1827;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240036;필라델피아 해군 조선소 ;T129;6;1917;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240001;보잉 ;T100;8;1920;1945;bomber_design;aeronautics;aircraft_testing;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240037;보잉 ;T100;9;1945;1970;bomber_design;aeronautics;avionics;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240003;커티스 라이트 ;T102;6;1929;1970;fighter_design;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240051;커티스 ;100826;5;1912;1929;fighter_design;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240004;더글라스 항공기 ;T103;7;1921;1970;bomber_design;aeronautics;avionics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240050;글렌 L. 마틴 컴퍼니 ;100825;7;1912;1961;bomber_design;aeronautics;avionics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240006;컨솔리데이티드 항공기 ;100365;7;1923;1970;bomber_design;aeronautics;avionics;aircraft_testing;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240008;스컹크 웍스 ;T107;9;1943;1970;fighter_design;rocketry;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240030;북아메리카 항공기 ;T10307;8;1937;1970;fighter_design;aeronautics;avionics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240044;알프레드 마한 ;100373;7;1897;1913;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240040;윌리엄 벤슨 ;100370;5;1913;1930;centralized_execution;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240039;윌리엄 심스 ;100369;6;1914;1922;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240046;조엘 프링글 ;100450;6;1923;1930;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240025;어니스트 킹 ;T124;7;1933;1947;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240022;체스터 니미츠 ;T121;8;1939;1950;small_taskforce_tactics;submarine_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240027;하이만 닉오버 ;T126;7;1946;1970;nuclear_engineering;chemistry;electronics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240032;아서 래드포드 ;T131;6;1948;1957;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240042;에디 리켄베커 ;100372;7;1917;1926;fighter_tactics;piloting;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240043;윌리엄 렌드럼 미첼 ;100448;6;1917;1926;centralized_execution;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240047;지미 두리틀 ;100451;6;1927;1959;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240026;헨리 아놀드 ;T125;7;1935;1946;decentralized_execution;training;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240023;커티스 르메이 ;T122;7;1938;1965;centralized_execution;bomber_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240021;칼 스파츠 ;T120;7;1939;1955;training;bomber_tactics;centralized_execution;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240041;존 퍼싱 ;100371;6;1914;1924;infantry_focus;large_unit_tactics;large_unit_focus;individual_courage;maneuver_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
240049;프레데릭 푼스톤 ;100787;6;1914;1917;infantry_focus;individual_courage;static_defense_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
