U87;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;X
1250001;난징대학교 ;100650;3;1902;1999;mathematics;medicine;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
1250002;한양 병기창 ;T98705;3;1895;1999;munitions;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
1250003;중국중앙은행 ;100790;2;1920;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250004;북중국 철도 ;100788;2;1938;1999;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250005;중국중앙 철도 ;100789;3;1939;1999;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250006;난징 자동차 공장 ;100775;3;1920;1999;mechanics;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250007;난징 항공기 공장 ;100731;3;1920;1999;aeronautics;aircraft_testing;fighter_design;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250008;난징 군사학교 ;T8803;3;1900;1999;training;large_unit_tactics;centralized_execution;individual_courage;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250009;왕징웨이 ;100765;2;1937;1945;individual_courage;training;management;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250010;보웬웨 ;100791;2;1939;1980;training;maneuver_tactics;combined_arms_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250011;런위안다오 ;100701;2;1938;1980;naval_training;centralized_execution;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250012;칭다오 공군기지 ;100702;2;1920;1999;piloting;bomber_tactics;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
