CAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
220003;임페리얼 석유 ;100050;6;1880;1970;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220002;캐나다 퍼시픽 철도 ;100049;5;1881;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220007;몬트리올 기관차 공장 ;T906;5;1883;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220017;토론토 대학교 ;T916;4;1900;1970;mathematics;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220020;벨 캐나다 ;100051;6;1880;1970;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220018;초크 리버 연구소 ;T917;5;1943;1970;mathematics;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220001;엔필드 조병창 캐나다 ;T900;6;1890;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220006;레이랜드 캐나다 ;T311;7;1910;1970;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220008;빅커스-암스트롱 캐나다 ;T907;7;1897;1988;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220005;킹스턴 조선소 ;T904;5;1908;1943;naval_engineering;technical_efficiency;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220004;드 하빌랜드 캐나다 ;T903;7;1928;1970;bomber_design;aeronautics;avionics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220016;아브로 캐나다 ;T302;6;1945;1970;bomber_design;aeronautics;rocketry;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
220013;해럴드 베일리 그로만 ;T912;5;1938;1946;naval_training;small_taskforce_tactics;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
