EUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
645001;비즈카이코 용광로 ;T11000;5;1900;1970;mechanics;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645002;에우스칼두나 조선소 ;T11001;4;1900;1970;naval_engineering;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645003;에스페란자 에타 운세타 ;100106;4;1900;1970;general_equipment;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645004;바스크 해군 조선소 ;T11003;4;1900;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645005;칸디도 사세타 ;T11004;3;1930;1937;infantry_focus;small_unit_tactics;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645006;펠릭스 리키니아노 ;T11005;3;1930;1970;combined_arms_focus;small_unit_tactics;individual_courage;rocketry;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645007;케파 오르도키 ;T11006;5;1939;1970;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
645008;에르타냐 ;100683;4;1936;1970;training;small_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645009;손디카코 공항 ;100684;3;1936;1970;Management;Aeronautics;Piloting;Training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645010;데우스투코 대학 ;100685;4;1886;1970;Management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
