U77;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1200001;IFI ;T5200;3;1900;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200002;SCADTA ;T5201;3;1900;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200003;FNC ;T5202;3;1900;1970;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200004;콜롬비아 철도 회사 ;T5203;4;1900;1970;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200005;ANDI ;T5204;3;1944;1970;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200006;구스타보 로하스 피니야 ;T5205;3;1944;1970;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200007;그란 콜롬비아 육군 ;T5206;4;1900;1970;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200008;그란 콜롬비아해군 ;T5207;4;1900;1970;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200009;그란 콜롬비아공군 ;T5208;3;1930;1970;training;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200010;유나이티드 푸르트 ;T5209;2;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200011;IDEAL ;T5300;3;1900;1970;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200012;과야킬 항 ;T5301;3;1900;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200013;영국-에콰도르 유전 ;T5302;3;1900;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200014;JFPN ;T5500;4;1900;1970;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200015;베네수엘라 석유 회사 ;T5501;4;1900;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200016;그란 콜롬비아철도국 ;T5502;3;1900;1970;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200017;카라카스 병기창 ;T9800;3;1900;1970;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1200018;콜롬비아 국립 대학교 ;T5210;2;1900;1970;mathematics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
