U72;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1175001;호치민 ;T97200;7;1930;1969;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175002;보응우옌잡 ;T97201;9;1944;1970;piloting;infantry_focus;individual_courage;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175003;농업성 ;T15200;3;1900;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175004;화학공업성 ;T10510;6;1900;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175005;건설성 ;T13502;5;1900;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175006;전력성 ;T13507;3;1900;1970;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175007;채산성 ;T10509;3;1900;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175008;교통해양성 ;T10300;4;1900;1970;mechanics;naval_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175009;금속 & 공작기계공장성;T10504;4;1900;1970;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175010;에너지 & 석탄성 ;T11000;4;1900;1970;industrial_engineering;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175011;철도성 ;T97210;2;1900;1970;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1175012;5월 1일 자동차 공장 ;100533;3;1956;1970;mechanics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1175013;A39 ;100534;2;1960;1970;aeronautics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
