U78;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1205001;코스타리카 석유회사 ;T5900;2;1900;1970;industrial_engineering;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205002;IDC ;T5901;3;1900;1970;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205003;CDC 금광 ;T5902;3;1900;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205004;유나이티드 푸르트 ;T5209;3;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205005;카우초 세미예로 ;T7900;2;1900;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205006;말러 프루타 ;T7901;1;1900;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205007;산카를로스 대학교 ;T7903;2;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205008;온두라스 은행 ;T7800;2;1900;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205009;중앙교도소 ;T7801;2;1900;1970;chemistry;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205010;공군사관학교 ;T7803;5;1930;1970;piloting;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205011;니카라과 석유 회사 ;T5800;2;1900;1970;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205012;NSSL ;T5801;3;1900;1970;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205013;디비사데로 금광 회사 ;T8000;3;1900;1970;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205014;임베르톤 ;T8001;3;1900;1970;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205015;페레테리아 페로미네라 ;T8002;4;1900;1970;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205016;리도 산업 ;T8003;5;1900;1970;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205017;아카후틀라 항 ;T8004;3;1900;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205018;중미 육군 ;T97818;3;1900;1970;infantry_focus;training;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205019;중미 해군 ;T97819;3;1900;1970;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1205020;중미 과학기술성 ;T97820;5;1930;1970;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
