U10;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
865001;로테르담 야포 공장 ;T2300;4;1900;1970;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865002;네덜란드 인민 전차공장 ;T2301;5;1900;1970;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865003;NSU 과학연구소 ;T2303;5;1900;1970;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865004;신 네덜란드 협회 ;T2304;5;1900;1970;naval_engineering;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865005;일반 항공 협회 ;T2305;6;1900;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865006;더치 셸 노동조합 ;T2307;7;1900;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865007;네덜란드 인민 조선소 ;T2308;6;1900;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865008;네덜란드 인민군 ;T2309;4;1900;1940;infantry_focus;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865009;네덜란드 항공 협회 ;T2311;4;1900;1940;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865010;필립스 노동조합 ;100157;7;1936;1970;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865011;헤르번 바헤나르 ;100354;5;1934;1970;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865012;안톤 파네쿡 ;100355;4;1930;1960;technical_efficiency;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865013;네덜란드 항공 노동조합 ;100356;3;1930;1970;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865014;네덜란드 항만 노동조합 ;100357;5;1900;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865015;헹크 호르착 ;100358;5;1930;1970;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865016;야코프 브란츠테더르 ;100359;4;1930;1962;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865017;네덜란드 인민 과학연구소 ;100360;3;1900;1970;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
