NZL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
215001;버나드 프레이버그 ;T9000;6;1930;1960;centralized_execution;small_unit_tactics;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215002;윌리엄 싱클레어 부르게스 ;T9001;5;1917;1938;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215003;프랜시스 투커 ;T9002;5;1941;1960;training;combined_arms_focus;small_unit_tactics;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215004;W.H. 스트래턴 ;T9003;5;1930;1960;small_taskforce_tactics;centralized_execution;naval_training;seamanship;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215005;로데릭 카 ;T9004;6;1934;1950;combined_arms_focus;piloting;training;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215006;L.M. 이시트 ;T9005;5;1930;1946;bomber_tactics;centralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215007;웰링턴 조병창 ;T313;5;1900;1970;artillery;munitions;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215008;뉴질랜드 조선소 ;T6;4;1900;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215009;제너럴 모터스 웰링턴 ;T9008;4;1900;1970;artillery;technical_efficiency;mechanics;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215010;드 하빌랜드 뉴질랜드 ;T903;6;1900;1970;bomber_design;aeronautics;avionics;munitions;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215011;오타고 대학교 ;T9010;3;1900;1970;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
