YUG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100001;이카루스 ;T3800;4;1923;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100002;항공 엔진 공단 ;T3801;3;1927;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100003;아드리아 조선소 ;T3802;3;1927;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100004;메모란둠 텔레옵티크 ;T3803;4;1922;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100005;미크론 ;T3804;4;1931;1970;industrial_engineering;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100006;유고슬라비아 국영 철도 ;T3805;5;1900;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100007;지보인 로고자르스키 ;T3806;3;1924;1946;aeronautics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100008;ZMAJ ;T3807;4;1927;1946;naval_engineering;aeronautics;fighter_design;avionics;aircraft_Testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100009;해군성 ;T3808;3;1900;1970;large_taskforce_tactics;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100010;두샨 시모비치 ;T3809;3;1930;1962;bomber_tactics;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100011;요시프 브로즈 티토 ;T3810;6;1942;1970;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100012;Milutin Nedic;100831;3;1918;1946;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100013;자스타바 병기창 ;T3812;5;1900;1970;general_equipment;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
