U05;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
840001;헴브뤼흐 야포 공장 ;T2300;4;1914;1970;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840002;DAF 인도네시아 ;T2301;5;1914;1970;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840003;포커르 인도네시아 ;T2302;6;1914;1970;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840004;HIH 시데리위스 인도네시아 ;T2303;5;1914;1970;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840005;인도네시아 왕립 학회 ;T2304;5;1914;1970;naval_engineering;electronics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840006;콜호번 인도네시아 ;T2305;5;1914;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840007;NSM 암스테르담 인도네시아 ;T2306;6;1914;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840008;더치 셸 인도네시아 ;T2307;7;1914;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840009;빌톤-페이노르트 인도네시아 ;T2308;6;1914;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840010;이자크 레인더르스 ;100845;4;1914;1940;training;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840011;요하네스 퓌르스트너르 ;T2310;4;1914;1970;training;large_taskforce_tactics;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840012;마리위스 라이마커르스 ;100846;5;1914;1940;training;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840013;페트뤼스 베스트 ;T2312;4;1937;1970;training;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840014;헨리 빙켈만 ;T2313;4;1936;1970;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840015;필립스 인도네시아 ;T2314;7;1936;1970;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840016;프리츠 제르니커 ;T2316;6;1914;1970;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
