IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
125001;Head of State;돔날 우어 부카라 ;1932;1964;1999;ML;Insignificant Layman;High;2490;X
125002;Head of Government;에이먼 데 벌레라 ;1926;1964;1999;ML;Flamboyant Tough Guy;High;2491;X
125003;Foreign Minister;에이먼 데 벌레라 ;1932;1964;1999;ML;Ideological Crusader;Undying;2491;X
125004;Minister of Armament;션 맥엔티 ;1933;1964;1999;ML;laissez-faire capitalist;High;M25004;X
125005;Minister of Security;패트릭 J. 러틀리지 ;1933;1964;1999;ML;Silent Lawyer;High;M25005;X
125006;Head of Military Intelligence;제럴드 볼랜드 ;1933;1964;1999;ML;Political Specialist;High;M25006;X
125007;Chief of Staff;M.J. 코스텔로 ;1933;1964;1999;ML;School of Defence;High;M25007;X
125008;Chief of Army;돔날 우어 부카라 ;1933;1964;1999;ML;Elastic Defence Doctrine;High;2490;X
125009;Chief of Navy;H.T. 그린 ;1933;1964;1999;ML;Base Control Doctrine;High;M25009;X
125010;Chief of Air Force;P.A. 멀케이 ;1933;1964;1999;ML;Air Superiority Doctrine;High;M25010;X
125011;Head of State;앨러스데어 맥케이브 ;1933;1964;1999;SD;Benevolent Gentleman;High;M25032;X
125012;Head of State;션 레마스 ;1945;1964;1999;SD;Pig-headed Isolationist;High;M25033;X
125013;Head of State;프랭크 파에이 ;1933;1964;1999;ML;Insignificant Layman;High;M25031;X
125014;Head of State;더글러스 하이드 ;1937;1964;1999;ML;Popular Figurehead;High;M25035;X
125015;Head of State;션 T. 오켈리 ;1944;1964;1999;ML;Autocratic Charmer;High;M25036;X
125016;Head of State;프랭크 파에이 ;1933;1964;1999;SC;Insignificant Layman;High;M25031;X
125017;Head of State;이오인 맥닐 ;1937;1964;1999;SC;Stern Imperialist;High;M25038;X
125018;Head of State;리처드 멀케이 ;1944;1964;1999;SC;Barking Buffoon;High;M25039;X
