GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
475001;Head of State;칸디드 차르크비아니 ;1933;1964;1999;ST;Barking Buffoon;High;M519001;X
475002;Head of Government;라브렌티 베리야 ;1933;1964;1999;ST;Flamboyant Tough Guy;High;M519002;X
475003;Foreign Minister;폴리카르페 '부두' 음디바니 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;High;M519003;X
475004;Minister of Armament;기오르기 엘리아바 ;1933;1964;1999;ST;Theoretical Scientist;Medium;M519004;X
475005;Minister of Security;세르고 오르조니키체 ;1933;1964;1999;ST;Prince of Terror;Medium;M519005;X
475006;Head of Military Intelligence;니콜라 나카스히지헤 ;1933;1964;1999;ST;Industrial Specialist;Medium;M519006;X
475007;Chief of Staff;라브렌티 베리야 ;1933;1964;1999;ST;School of Psychology;Medium;M519007;X
475008;Chief of Army;이고르 D. 체르니코프스키 ;1933;1964;1999;ST;Elastic Defence Doctrine;Medium;M519008;X
475009;Chief of Navy;알렉세이 브루실로프 ;1933;1964;1999;ST;Open Seas Doctrine;Medium;M519009;X
475010;Chief of Air Force;마미아 오라헬라슈빌리 ;1933;1964;1999;ST;Naval Aviation Doctrine;Medium;M519010;X
475011;Head of State;라파엘 이바니츠키 ;1933;1964;1999;SD;Pig-headed Isolationist;High;M519011;X
475012;Head of State;마가레타 1세 아프하지 ;1933;1964;1999;SL;Popular Figurehead;High;M519012;X
475013;Head of State;이라클리 4세 바그라티온 ;1933;1964;1999;SC;Autocratic Charmer;High;M519013;X
475014;Head of State;안드리 2세 치바체체 ;1933;1964;1999;NS;Stern Imperialist;High;M519014;X
475015;Head of Government;미헤일 자카키슈빌리 ;1933;1964;1999;SD;Naive Optimist;High;M519015;X
475016;Head of Government;이바네 치시슈빌리 ;1933;1964;1999;SL;Backroom Backstabber;High;M519016;X
475017;Head of Government;이바네 자바히슈빌리 ;1933;1964;1999;SC;Silent Workhorse;High;M519017;X
475018;Head of Government;미헤일 체레텔리 ;1933;1964;1999;NS;Happy Amateur;High;M519018;X
475019;Foreign Minister;무흐란 니니아드체 ;1933;1964;1999;ST;Iron Fisted Brute;High;M519019;X
475020;Foreign Minister;필리프 마하라드체 ;1933;1964;1999;ST;Ideological Crusader;High;M519020;X
475021;Foreign Minister;샬바 아미레즈비 ;1933;1964;1999;SD;Apologetic Clerk;High;M519021;X
475022;Foreign Minister;에프렘 코르셀리체 ;1933;1964;1999;SL;Apologetic Clerk;High;M519022;X
475023;Foreign Minister;발렌틴 S. 오체포프 ;1933;1964;1999;SL;Biased Intellectual;High;M519023;X
475024;Foreign Minister;칼리스트라테 친타체 ;1933;1964;1999;SC;Iron Fisted Brute;High;M519024;X
475025;Foreign Minister;알렉산더르 니쿠라체 ;1933;1964;1999;NS;Great Compromiser;High;M519025;X
475026;Minister of Armament;바추아 제즈바체 ;1933;1964;1999;ST;Resource Industrialist;Medium;M519026;X
475027;Minister of Armament;베소 로미나체 ;1933;1964;1999;SD;Theoretical Scientist;Medium;M519027;X
475028;Minister of Armament;테도레 사호이아 ;1933;1964;1999;SD;Resource Industrialist;Medium;M519028;X
475029;Minister of Armament;게오르게 그바자바 ;1933;1964;1999;SL;laissez-faire capitalist;Medium;M519029;X
475030;Minister of Armament;아벨 에누키체 ;1933;1964;1999;SC;Air Superiority Proponent;High;M519030;X
475031;Minister of Armament;바실 G. 체레텔리 ;1933;1964;1999;SC;Air to Ground Proponent;High;M519031;X
475032;Minister of Armament;레바즈 가바슈빌리 ;1933;1964;1999;NS;Infantry Proponent;High;M519032;X
475033;Minister of Security;세르게이 카브타라체 ;1933;1964;1999;ST;Efficient Sociopath;Medium;M519033;X
475034;Minister of Security;스탈바 엘리아비 ;1933;1964;1999;SD;Prince of Terror;Medium;M519034;X
475035;Minister of Security;노에 조르다니아 ;1933;1964;1999;SL;Efficient Sociopath;Medium;M519035;X
475036;Minister of Security;메흐메드 아바시체 ;1933;1964;1999;SC;Back Stabber;Medium;M519036;X
475037;Minister of Security;알리 미타에프 ;1933;1964;1999;SC;Crime Fighter;Medium;M519037;X
475038;Minister of Security;에크브티메 타카이슈빌리 ;1933;1964;1999;NS;Crime Fighter;Medium;M519038;X
475039;Head of Military Intelligence;기오르기 스투루아 ;1933;1964;1999;ST;Logistics Specialist;Medium;M519039;X
475040;Head of Military Intelligence;기오르기 엘리아바 ;1933;1964;1999;SD;Technical Specialist;Medium;M519004;X
475041;Head of Military Intelligence;니콜로즈 카르치바체 ;1933;1964;1999;SD;Political Specialist;Medium;M519041;X
475042;Head of Military Intelligence;미하엘 아흐메텔리 ;1933;1964;1999;SL;Logistics Specialist;Medium;M519042;X
475043;Head of Military Intelligence;마르코즈 투구시 ;1933;1964;1999;SC;Dismal Enigma;Medium;M519043;X
475044;Head of Military Intelligence;메라브 코스타바 ;1933;1964;1999;NS;Industrial Specialist;Medium;M519044;X
475045;Chief of Staff;세크니아 우차슈빌리 ;1933;1964;1999;ST;School of Defence;Medium;M519045;X
475046;Chief of Staff;카이호스토 촐로카슈빌리 ;1933;1964;1999;SD;School of Manoeuvre;Medium;M519046;X
475047;Chief of Staff;샬바 카루미체 ;1933;1964;1999;SL;School of Mass Combat;Medium;M519047;X
475048;Chief of Staff;콘스탄티네 아프하지 ;1933;1964;1999;SC;School of Fire Support;Medium;M519048;X
475049;Chief of Staff;가구카 바그라티온 ;1933;1964;1999;NS;School of Manoeuvre;Medium;M519049;X
475050;Chief of Army;알렉세이 브루실로프 ;1933;1964;1999;ST;Static Defence Doctrine;Medium;M519050;X
475051;Chief of Army;레반 라지카슈빌리 ;1933;1964;1999;SD;Decisive Battle Doctrine;Medium;M519051;X
475052;Chief of Army;와르단 추루키체 ;1933;1964;1999;SL;Elastic Defence Doctrine;Medium;M519052;X
475053;Chief of Army;니코 니콜라체 ;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M519053;X
475054;Chief of Army;샬바 마글라켈리체 ;1933;1964;1999;NS;Static Defence Doctrine;Medium;M519054;X
475055;Chief of Navy;발레리안 바크라체 ;1933;1964;1999;ST;Base Control Doctrine;Medium;M519055;X
475056;Chief of Navy;삼손 피르츠할라바 ;1933;1964;1999;SD;Power Projection Doctrine;Medium;M519056;X
475057;Chief of Navy;그리골 T. 로바키체 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M519057;X
475058;Chief of Navy;기글라 뎀나체 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M519058;X
475059;Chief of Navy;프란츠 비웨르 ;1933;1964;1999;NS;Indirect Approach Doctrine;Medium;M519059;X
475060;Chief of Air Force;자바 베프하체 ;1933;1964;1999;ST;Army Aviation Doctrine;Medium;M519060;X
475061;Chief of Air Force;삼손 피르츠할라바 ;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M519056;X
475062;Chief of Air Force;코테 안드로니카슈빌리 ;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M519062;X
475063;Chief of Air Force;에리히 폰 팔켄하인 ;1933;1964;1999;SC;Carpet Bombing Doctrine;Medium;M519063;X
475064;Chief of Air Force;에두아르드 무르 ;1933;1964;1999;NS;Air Superiority Doctrine;Medium;M519064;X
