EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
340001;Head of State;푸아드 1세 ;1933;1964;1999;SC;Autocratic Charmer;High;M512001;X
340002;Head of Government;알리 마히르 파샤 ;1933;1964;1999;SC;Silent Workhorse;High;M512002;X
340003;Foreign Minister;알리 마히르 파샤 ;1933;1964;1999;SC;Great Compromiser;High;M512002;X
340004;Minister of Armament;무함마드 알 프란사위 ;1933;1964;1999;SC;Battle Fleet Proponent;Medium;M512004;X
340005;Minister of Security;무스타파 알 나하스 파샤 ;1933;1964;1999;SC;Silent Lawyer;Medium;M512005;X
340006;Head of Military Intelligence;무함마드 힐미 잇사 ;1933;1964;1999;SC;Dismal Enigma;Medium;M512006;X
340007;Chief of Staff;하산 사브리 파샤 ;1933;1964;1999;SC;School of Defence;Medium;M512007;X
340008;Chief of Army;하산 사브리 파샤 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;M512007;X
340009;Chief of Navy;압달라 지와르 파샤 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M512009;X
340010;Chief of Air Force;푸아드 1세 ;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M512010;X
340011;Head of State;파루크 1세 ;1933;1964;1999;SC;Insignificant Layman;High;M512011;X
340012;Head of State;파루크 1세 ;1933;1964;1999;SL;Pig-headed Isolationist;High;M512011;X
340013;Head of State;아가 칸 ;1945;1964;1999;SD;Benevolent Gentleman;High;M512013;X
340014;Head of Government;무스타파 알 나하스 파샤 ;1933;1964;1999;SC;Flamboyant Tough Guy;High;M512005;X
340015;Head of Government;하산 사브리 파샤 ;1940;1964;1999;SC;Old General;High;M512007;X
340016;Head of Government;무함마드 누크라이시 파샤 ;1940;1964;1999;SC;Backroom Backstabber;High;M512016;X
340017;Head of Government;무함마드 파샤 ;1933;1964;1999;ML;Happy Amateur;High;M512017;X
340018;Head of Government;알리 마히르 파샤 ;1939;1964;1999;ML;Smiling Oilman;High;M512002;X
