BLR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
470001;Head of State;알렉산드르 G. 체르뱌코프 ;1933;1964;1999;LE;Autocratic Charmer;High;M517001;X
470002;Head of Government;알렉세이 A. 볼코프 ;1933;1964;1999;LE;Naive Optimist;High;M517002;X
470003;Foreign Minister;니콜라이 I. 구사로프 ;1933;1964;1999;LE;Great Compromiser;High;M517003;X
470004;Minister of Armament;알렉산드르 블라디미르스키 ;1933;1964;1999;LE;Infantry Proponent;Medium;M517004;X
470005;Minister of Security;유리 B. 가마르니크 ;1933;1964;1999;LE;Prince of Terror;Medium;M517005;X
470006;Head of Military Intelligence;야제프 료시크 ;1933;1964;1999;LE;Naval Intelligence Specialist;Medium;M517006;X
470007;Chief of Staff;세라핌 포크로프스키 ;1933;1964;1999;LE;School of Psychology;Medium;M517007;X
470008;Chief of Army;파벨 포노마렌코 ;1933;1964;1999;LE;Armoured Spearhead Doctrine;Medium;M517008;X
470009;Chief of Navy;발레릭 레시크 ;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M517009;X
470010;Chief of Air Force;블라디미르 I. 체랴코프 ;1933;1964;1999;LE;Carpet Bombing Doctrine;Medium;M517010;X
470011;Head of State;야제프 료시크 ;1933;1964;1999;SD;Weary Stiffneck;High;M517006;X
470012;Head of State;로디온 수르빌라 ;1933;1964;1999;SC;Stern Imperialist;High;M517012;X
470013;Head of State;표트르 크레체프스키 ;1933;1964;1999;NS;Autocratic Charmer;High;M517013;X
470014;Head of Government;표트르 크레체프스키 ;1933;1964;1999;SD;Happy Amateur;High;M517013;X
470015;Head of Government;베네딕트 봅코프스키 ;1933;1964;1999;SC;Political Protege;High;M517015;X
470016;Head of Government;바실 자차르카 ;1933;1964;1999;NS;Corporate Suit;High;M517016;X
470017;Foreign Minister;카를 란더 ;1933;1964;1999;LE;Ideological Crusader;High;M517017;X
470018;Foreign Minister;판텔레이몬 로쉬노프스키 ;1933;1964;1999;SD;Apologetic Clerk;High;M517018;X
470019;Foreign Minister;표트르 A. 크레체프스키 ;1933;1964;1999;SD;Ideological Crusader;High;M517019;X
470020;Foreign Minister;바실 자차르카 ;1933;1964;1999;SC;Great Compromiser;High;M517016;X
470021;Foreign Minister;베냐민 노비츠키 ;1933;1964;1999;SC;Apologetic Clerk;High;M517021;X
470022;Foreign Minister;유리 슈레비치 ;1933;1964;1999;NS;Biased Intellectual;High;M517022;X
470023;Foreign Minister;빌헬름 쿠베 ;1933;1964;1999;NS;The Cloak N Dagger Schemer;High;M517023;X
470024;Minister of Armament;바실리 F. 샤란고비치 ;1933;1964;1999;LE;Resource Industrialist;Medium;M517024;X
470025;Minister of Armament;미하일 본치 브루예비치 ;1933;1964;1999;SD;Tank Proponent;Medium;M517025;X
470026;Minister of Armament;미콜라 아브람치크 ;1933;1964;1999;SC;Theoretical Scientist;Medium;M517026;X
470027;Minister of Armament;로디온 수르빌라 ;1933;1964;1999;NS;laissez-faire capitalist;Medium;M517012;X
470028;Minister of Armament;카를 란더 ;1933;1964;1999;NS;Military Entrepreneur;Medium;M517017;X
470029;Minister of Security;알렉산드르 I. 크리비츠키 ;1933;1964;1999;LE;Compassionate Gentleman;Medium;M517029;X
470030;Minister of Security;니콜라이 F. 기칼로 ;1933;1964;1999;LE;Back Stabber;Medium;M517030;X
470031;Minister of Security;미하일 본치 브루예비치 ;1933;1964;1999;LE;Man of the People;Medium;M517025;X
470032;Minister of Security;알렉산드르 블라디미르스키 ;1933;1964;1999;SD;Crime Fighter;Medium;M517004;X
470033;Minister of Security;라리사 헤니우쉬 ;1933;1964;1999;SC;Efficient Sociopath;Medium;M517033;X
470034;Minister of Security;쿠르트 폰 고트베르크 ;1933;1964;1999;NS;Prince of Terror;Medium;M517034;X
470035;Minister of Security;콘스탄틴 보스코보이니코프 ;1933;1964;1999;NS;Silent Lawyer;Medium;M517035;X
470036;Head of Military Intelligence;판텔레이몬 포노마렌코 ;1933;1964;1999;LE;Industrial Specialist;Medium;M517036;X
470037;Head of Military Intelligence;알렉산드르 I. 크리비츠키 ;1933;1964;1999;SD;Political Specialist;Medium;M517029;X
470038;Head of Military Intelligence;카를 란더 ;1933;1964;1999;SD;Dismal Enigma;Medium;M517017;X
470039;Head of Military Intelligence;유리 슈레비치 ;1933;1964;1999;SC;Technical Specialist;Medium;M517022;X
470040;Head of Military Intelligence;미하일 본치 브루예비치 ;1933;1964;1999;NS;Technical Specialist;Medium;M517025;X
470041;Head of Military Intelligence;유리 B. 가마르니크 ;1933;1964;1999;NS;Political Specialist;Medium;M517005;X
470042;Head of Military Intelligence;발터 다레 ;1933;1964;1999;NS;Logistics Specialist;Medium;M517042;X
470043;Chief of Staff;블라디미르 I. 체랴코프 ;1933;1964;1999;SD;School of Fire Support;Medium;M517010;X
470044;Chief of Staff;유리 B. 가마르니크 ;1933;1964;1999;SC;School of Psychology;Medium;M517005;X
470045;Chief of Staff;바실리 수예라타 ;1933;1964;1999;NS;School of Defence;Medium;M517045;X
470046;Chief of Army;세라핌 포크로프스키 ;1933;1964;1999;SD;Static Defence Doctrine;Medium;M517007;X
470047;Chief of Army;유제프 도브보르 무스니츠키 ;1933;1964;1999;SC;Decisive Battle Doctrine;Medium;M517047;X
470048;Chief of Army;브로니슬라프 카민스키 ;1933;1964;1999;NS;Guns and Butter Doctrine;Medium;M517048;X
