U46;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1045001;Head of State;아르투르 자이스 잉크바르트 ;1933;1964;1999;NS;Reichskommissar;Very High;M58;X
1045002;Head of Government;안톤 무서트 ;1933;1964;1999;NS;Ambitious Union Boss;High;M8011;X
1045003;Foreign Minister;아르투르 자이스 잉크바르트 ;1933;1964;1999;NS;Iron fisted Brute;Very High;M58;X
1045004;Minister of Armament;한스 피셔 ;1933;1964;1999;NS;Laissez-Faire Capitalist;High;7213;X
1045005;Minister of Security;한스 알빈 라우터 ;1933;1964;1999;NS;Efficient Sociopath;Very High;7214;X
1045006;Head of Military Intelligence;빌헬름 하르스터 ;1933;1964;1999;NS;Industrial Specialist;High;7215;X
1045007;Chief of Staff;프리드리히 크리스티안젠 ;1933;1964;1999;NS;School of Fire Support;Very High;L615;X
1045008;Chief of Army;프리드리히 크리스티안젠 ;1933;1964;1999;NS;Decisive Battle Doctrine;Very High;L615;X
1045009;Chief of Navy;에리히 레더 ;1933;1964;1999;NS;Decisive Naval Battle Doctrine;High;2642;X
1045010;Chief of Air Force;헤르만 괴링 ;1933;1964;1999;NS;The Iron Knight;Very High;2643;X
1045011;Foreign Minister;안톤 무서트 ;1933;1964;1999;NS;The Cloak N Dagger Schemer;High;M8011;X
