SCO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
760001;Head of State;해럴드 해링턴 밸푸어 ;1933;1964;1999;ML;Barking Buffoon;High;M561001;X
760002;Head of Government;존 헨리 스튜어트 ;1933;1964;1999;ML;Silent Workhorse;High;M561002;X
760003;Foreign Minister;루시우스 플랜테저넷 ;1933;1964;1999;ML;Great Compromiser;High;M561003;X
760004;Minister of Armament;제임스 피츠워렌느 ;1933;1964;1999;ML;Battle Fleet Proponent;Medium;M561004;X
760005;Minister of Security;허브랜드 새크빌 ;1933;1964;1999;ML;Back Stabber;Medium;M561005;X
760006;Head of Military Intelligence;패트릭 밸푸어 ;1933;1964;1999;ML;Dismal Enigma;Medium;M561006;X
760007;Chief of Staff;필립 맥스웰 밸푸어 ;1933;1964;1999;ML;School of Psychology;Medium;L1018;X
760008;Chief of Army;S.T. 헤이크윌 스미스 ;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;L1152;X
760009;Chief of Navy;T.L. 브루스 프레이저 ;1933;1964;1999;ML;Open Seas Doctrine;Medium;L1328;X
760010;Chief of Air Force;오웬 보이드 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;L1418;X
760011;Head of State;찰스 월그레이브 ;1933;1964;1999;PA;Benevolent Gentleman;High;M561011;X
760012;Head of State;헨리 맥그루 ;1933;1964;1999;LWR;Die-hard Reformer;High;M561012;X
760013;Head of Government;제임스 해밀턴 ;1933;1964;1999;PA;Backroom Backstabber;High;M561013;X
760014;Head of Government;이그나시우스 R. 던나키 ;1933;1964;1999;LWR;Happy Amateur;High;M561014;X
760015;Foreign Minister;찰스 고든 레녹스 ;1933;1964;1999;PA;General Staffer;High;M561015;X
760016;Foreign Minister;도널드 카드로스 엘스카인 ;1933;1964;1999;LWR;Iron Fisted Brute;High;M561016;X
760017;Minister of Armament;이안 캠벨 그레이 ;1933;1964;1999;PA;Resource Industrialist;Medium;M561017;X
760018;Minister of Armament;피터 드러먼드 맥도날드 ;1933;1964;1999;LWR;Military Entrepreneur;Medium;M561018;X
760019;Minister of Security;찰스 캠벨 ;1933;1964;1999;PA;Man of the People;Medium;M561019;X
760020;Minister of Security;말콤 맥도날드 ;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M561020;X
760021;Head of Military Intelligence;찰스 카네기 ;1933;1964;1999;PA;Logistics Specialist;Medium;M561021;X
760022;Head of Military Intelligence;마리 카마이클 스톱스 ;1933;1964;1999;LWR;Technical Specialist;Medium;M561022;X
760023;Chief of Staff;해럴드 프랭클린 ;1933;1964;1999;PA;School of Defence;Medium;L1127;X
760024;Chief of Staff;리차드 맥크레리 ;1933;1964;1999;LWR;School of Manoeuvre;Medium;L1216;X
760025;Chief of Army;앤드루 맥컬러 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;L1217;X
760026;Chief of Army;W.M. 세인트 조지 커크 ;1933;1964;1999;LWR;Decisive Battle Doctrine;Medium;L1181;X
760027;Chief of Navy;조프리 레이튼 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L1364;X
760028;Chief of Navy;앤소니 스톡스 ;1933;1964;1999;LWR;Indirect Approach Doctrine;Medium;L1391;X
760029;Chief of Air Force;페리 킨 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L1453;X
760030;Chief of Air Force;P.S. 숄토 더글라스 ;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;unknownminister;X
760031;Minister of Armament;조지 뷰캐넌 ;1939;1964;1999;SL;Resource Industrialist;High;M561031;X
760032;Chief of Air Force;휴 다우딩 ;1933;1964;1999;ML;Air Superiority Doctrine;High;L1435;X
760033;Foreign Minister;윌리엄 갤러허 ;1933;1964;1999;LWR;Ideological Crusader;High;M561033;X
760034;Minister of Security;제임스 목스턴 ;1933;1964;1999;SD;Silent Lawyer;High;M561034;X
760035;Minister of Security;데이비드 맥스웰 파이프 ;1941;1964;1999;ML;Compassionate Gentleman;High;M1085;X
760036;Foreign Minister;아치볼드 렘지 ;1943;1964;1999;FA;Iron Fisted Brute;Medium;M1054;X
760037;Foreign Minister;더글라스 해밀턴 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M561037;X
760038;Chief of Staff;월터 더글라스 스콧 ;1942;1964;1999;FA;School of Defence;High;6078;x
