PRI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
730047;Head of State;Grigory Semenov;1914;1964;1999;FA;Local tyrant2;High;9599;X
730048;Head of Government;Vladimir Kislitsin;1916;1964;1999;FA;old general;High;6375;X
730049;Foreign Minister;Prince Nikolai Ukhtomsky;1917;1964;1999;FA;general staffer;High;9943;X
730050;Head of Government;Lev Okhotin;1933;1964;1999;NS;Political Protege;High;9944;X
730051;Minister of Security;Alexei Baksheev;1917;1964;1999;FA;crime fighter;High;9945;X
730052;Head of Military Intelligence;Benjamin Rychkov;1933;1964;1999;FA;Logistics Specialist;High;9946;X
730053;Chief of Staff;Vladimir Kislitsin;1916;1964;1999;FA;School of Fire Support;High;6375;X
730054;Chief of Army;Grigory Verzhbitsky;1915;1964;1999;FA;elastic defence doctrine;High;9947;X
730055;Head of State;Konstantin Rodzaevsky;1925;1964;1999;NS;Local tyrant2;High;9311;X
730056;Foreign Minister;Anastasy Vonsyatsky;1917;1964;1999;NS;ideological crusader;High;9948;X
730057;Chief of Staff;Konstantin Rodzaevsky;1925;1964;1999;NS;school of mass combat;High;9311;X
730058;Chief of Army;Lev Vlasyevsky;1915;1964;1999;NS;decisive battle doctrine;High;9949;X
730059;Chief of Air Force;Lev Okhotin;1933;1964;1999;NS;Air Superiority Doctrine;High;9944;X
730060;Chief of Navy;Boris Shepunov;1917;1964;1999;FA;Decisive Naval Battle Doctrine;High;9950;X
730061;Minister of Armament;Ivan Mikhailov;1914;1964;1999;FA;laissez-faire capitalist;High;8887;X
730062;Head of Military Intelligence;Mikhail Matkovskii;1921;1964;1999;NS;Dismal Enigma;High;unknownminister;X
730001;Head of State;콘라딘 아지모프 ;1933;1964;1999;LE;Barking Buffoon;High;M527001;X
730002;Head of Government;알렉세이 시푸노프 ;1933;1964;1999;LE;Happy Amateur;High;M527002;X
730003;Foreign Minister;즐레타프 바란스키 ;1933;1964;1999;LE;Apologetic Clerk;High;M527003;X
730004;Minister of Armament;페테르 쉬피탈니 ;1933;1964;1999;LE;Resource Industrialist;Medium;M527004;X
730005;Minister of Security;세르게이 트레챠코프 ;1933;1964;1999;LE;Prince of Terror;Medium;M527005;X
730006;Head of Military Intelligence;이반 셀레스트;1933;1964;1999;LE;Logistics Specialist;Medium;M527006;X
730007;Chief of Staff;안톤 쉬포프 ;1933;1964;1999;LE;School of Fire Support;Medium;M527007;X
730008;Chief of Army;트리필 쉬만스키 ;1933;1964;1999;LE;Elastic Defence Doctrine;Medium;M527008;X
730009;Chief of Navy;비탈모 파노프 ;1933;1964;1999;LE;Open Seas Doctrine;Medium;M527009;X
