U06;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
845001;Head of State;아르투르 그라이저 ;1934;1964;1999;NS;Powerhungry Demagogue;Very High;3388;X
845002;Head of Government;아르투르 그라이저 ;1934;1964;1999;NS;Silent Workhorse;Very High;3388;X
845003;Foreign Minister;아르투르 그라이저 ;1934;1964;1999;NS;Biased Intellectual;Very High;3388;X
845004;Minister of Armament;율리우스 호펜라트 ;1914;1964;1999;FA;Laissez-Faire Capitalist;High;3389;X
845005;Minister of Security;빌리발트 비르친슈키 카이저 ;1933;1964;1999;SC;Silent Lawyer;High;3390;X
845006;Head of Military Intelligence;아르투르 그라이저 ;1934;1964;1999;NS;Dismal Enigma;High;3388;X
845007;Chief of Staff;아르투르 그라이저 ;1934;1964;1999;NS;School of Manoeuvre;High;3388;X
845008;Chief of Army;아르투르 그라이저 ;1934;1964;1999;NS;Elastic Defence Doctrine;High;3388;X
845009;Chief of Navy;요한 A. 네데르브라흐트 ;1934;1964;1999;SC;Open Seas Doctrine;High;unknownminister;X
845010;Chief of Air Force;아르투르 그라이저 ;1934;1964;1999;NS;Army Aviation Doctrine;High;3388;X
845011;Head of State;에른스트 침 ;1914;1962;1999;PA;Popular Figurehead;Very High;5774;X
845012;Head of Government;에른스트 침 ;1914;1962;1999;PA;Silent Workhorse;Very High;5774;X
845013;Foreign Minister;에른스트 침 ;1914;1962;1999;PA;Biased Intellectual;Very High;5774;X
845014;Head of State;헤르만 라우슈닝 ;1924;1935;1999;NS;Autocratic Charmer;Low;5775;X
845015;Head of Government;헤르만 라우슈닝 ;1924;1935;1999;NS;Flamboyant Tough Guy;Low;5775;X
845016;Foreign Minister;헤르만 라우슈닝 ;1924;1935;1999;NS;Ideological Crusader;Low;5775;X
845017;Head of State;알베르트 포르슈터 ;1939;1964;1999;NS;Stern Imperialist;Very High;5776;X
845018;Head of Government;알베르트 포르슈터 ;1939;1964;1999;NS;Political Protege;Very High;5776;X
845019;Foreign Minister;알베르트 포르슈터 ;1939;1964;1999;NS;Iron Fisted Brute;Very High;5776;X
845020;Minister of Armament;에른스트 침 ;1914;1962;1999;PA;Laissez-Faire Capitalist;High;5774;X
845021;Head of Military Intelligence;에른스트 침 ;1914;1962;1999;PA;Dismal Enigma;High;5774;X
845022;Chief of Staff;에른스트 침 ;1914;1962;1999;PA;School of Manoeuvre;High;5774;X
845023;Chief of Army;에른스트 침 ;1914;1962;1999;PA;Elastic Defence Doctrine;High;5774;X
845024;Chief of Navy;에른스트 침 ;1914;1962;1999;PA;Open Seas Doctrine;High;5774;X
845025;Chief of Air Force;에른스트 침 ;1914;1962;1999;PA;Army Aviation Doctrine;High;5774;X
845026;Minister of Armament;헤르만 라우슈닝 ;1924;1935;1999;NS;Laissez-Faire Capitalist;High;5775;X
845027;Head of Military Intelligence;헤르만 라우슈닝 ;1924;1935;1999;NS;Dismal Enigma;High;5775;X
845028;Chief of Staff;헤르만 라우슈닝 ;1924;1935;1999;NS;School of Manoeuvre;High;5775;X
845029;Chief of Army;헤르만 라우슈닝 ;1924;1935;1999;NS;Elastic Defence Doctrine;High;5775;X
845030;Chief of Navy;헤르만 라우슈닝 ;1924;1935;1999;NS;Open Seas Doctrine;High;5775;X
845031;Chief of Air Force;헤르만 라우슈닝 ;1924;1935;1999;NS;Army Aviation Doctrine;High;5775;X
