U36;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
995100;Head of State;Æã±ÅÀå ;1903;1919;1919;PA;Resigned Generalissimo;High;9496;X
995101;Head of Government;Â÷¿ÀÄï ;1885;1925;1925;PA;Political Protege;Very High;9531;X
995102;Foreign Minister;Æã±ÅÀå ;1903;1919;1919;PA;General Staffer;High;9496;X
995103;Minister of Armament;°¡¿À¾ğÈË ;1912;1925;1925;PA;Resource Industrialist;Medium;9534;X
995104;Minister of Security;°¡¿À¸µ¿şÀÌ ;1910;1926;1940;PA;Compassionate Gentleman;Medium;9521;X
995105;Head of Military Intelligence;Â÷¿ÀÄï ;1885;1925;1925;PA;Political Specialist;High;9531;X
995106;Chief of Staff;Àå»ş¿ÀÂÄ ;1903;1929;1929;PA;School of Psychology;High;9526;X
995107;Chief of Army;Àå»ş¿ÀÂÄ ;1903;1929;1929;PA;Decisive Battle Doctrine;Medium;9526;X
995108;Chief of Navy;µÎ½Ã±¸ÀÌ ;1911;1927;1938;PA;Decisive Naval Battle Doctrine;Medium;9535;X
995109;Head of State;Â÷¿ÀÄï ;1885;1925;1925;PA;Autocratic Charmer;High;9531;X
995110;Head of Government;°¡¿À¸µ¿şÀÌ ;1910;1926;1940;PA;Political Protege;Very High;9521;X
995111;Head of State;¿ìÆäÀÌÇª ;1902;1927;1940;PA;Resigned Generalissimo;High;9529;X
995112;Head of State;¾§ÃÓÆÎ ;1901;1931;1936;PA;Autocratic Charmer;Medium;9536;X
995113;Chief of Army;¾§ÃÓÆÎ ;1901;1931;1936;PA;Decisive Battle Doctrine;Low;9536;X
995114;Head of Government;µÎ½Ã±¸ÀÌ ;1911;1927;1938;PA;Old Admiral;High;9535;X
995115;Foreign Minister;°¡¿À¸µ¿şÀÌ ;1910;1926;1940;PA;Biased Intellectual;High;9521;X
995116;Minister of Armament;¸®¿ì¾ğÀ§¾È ;1895;1924;1948;PA;Military Entrepreneur;Medium;9537;X
995117;Minister of Armament;¿ìÀ§¸° ;1895;1925;1925;PA;Battle Fleet Proponent;High;9538;X
995118;Minister of Armament;°¡¿À¸µ¿şÀÌ ;1910;1926;1940;PA;Resource Industrialist;Medium;9521;X
995119;Minister of Armament;ÀåÀ×È­ ;1918;1926;1944;PA;Administrative Genius;Medium;9539;X
995120;Minister of Security;µ¢½ÃÇã¿ì ;1917;1926;1965;PA;Prince of Terror;Medium;9540;X
995121;Minister of Security;¿ÕÅº ;1911;1924;1924;PA;Crime Fighter;Low;9532;X
995122;Head of Military Intelligence;¿ìÆäÀÌÇª ;1902;1927;1940;PA;Logistics Specialist;High;9529;X
995123;Chief of Staff;¿ìÆäÀÌÇª ;1902;1927;1940;PA;School of Manoeuvre;High;9529;X
995124;Chief of Army;¿ìÆäÀÌÇª ;1902;1927;1940;PA;Wu_Peifu;Medium;9529;X
995125;Chief of Staff;¿ÕÅº ;1911;1924;1924;PA;School of Mass Combat;Medium;9532;X
995126;Chief of Army;¿ÕÅº ;1911;1924;1924;PA;Guns and Butter Doctrine;Medium;9532;X
995127;Chief of Staff;·çÁø ;1912;1925;1925;PA;School of Defence;Medium;9533;X
995128;Chief of Army;·çÁø ;1912;1925;1925;PA;Static Defence Doctrine;High;9533;X
995129;Chief of Navy;¸®µù½Å ;1886;1930;1930;PA;Decisive Naval Battle Doctrine;High;9464;X
995130;Chief of Navy;¿ìÀ§¸° ;1895;1925;1925;PA;Open Seas Doctrine;Medium;9538;X
995131;Chief of Air Force;¿ìÆäÀÌÇª ;1902;1927;1940;PA;Army Aviation Doctrine;Medium;9529;X
995132;Chief of Air Force;¿ÕÃ»ºó ;1913;1925;1937;PA;Carpet Bombing Doctrine;Medium;9541;X
