TRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
540001;Head of State;카이할지즈 아타바예프 ;1933;1964;1999;ST;Weary Stiffneck;High;M525001;X
540002;Head of Government;그리고리 아론슈탐 ;1933;1964;1999;ST;Flamboyant Tough Guy;High;M525002;X
540003;Foreign Minister;니콜라이 시신 ;1933;1964;1999;ST;Iron Fisted Brute;High;M525003;X
540004;Minister of Armament;야코프 포포크 ;1933;1964;1999;ST;Tank Proponent;Medium;M525004;X
540005;Minister of Security;네르디바이 아이타코프 ;1933;1964;1999;ST;Back Stabber;Medium;M525005;X
540006;Head of Military Intelligence;히발리 바바예프 ;1933;1964;1999;ST;Technical Specialist;Medium;M525006;X
540007;Chief of Staff;니키타 N. 벨로프 ;1933;1964;1999;ST;School of Manoeuvre;Medium;M525007;X
540008;Chief of Army;안드레이 울리취 ;1933;1964;1999;ST;Armoured Spearhead Doctrine;Medium;M525008;X
540009;Chief of Navy;유리 바탈로프 ;1933;1964;1999;ST;Base Control Doctrine;Medium;M525009;X
540010;Chief of Air Force;알렉산드르 바투린 ;1933;1964;1999;ST;Naval Aviation Doctrine;Medium;M525010;X
540011;Head of State;보리스 스테인 ;1933;1964;1999;SD;Benevolent Gentleman;High;M525011;X
540012;Head of State;야콥 수리츠 ;1933;1964;1999;SC;Pig-headed Isolationist;High;M525012;X
540013;Head of Government;로잘리아 잘리킨트 ;1933;1964;1999;SD;Ambitious Union Boss;High;M525013;X
540014;Head of Government;이반 마이스키 ;1933;1964;1999;SC;Happy Amateur;High;M525014;X
540015;Foreign Minister;슈자 바티로프 ;1933;1964;1999;ST;Great Compromiser;High;M525015;X
540016;Foreign Minister;이리나 니콜라예바 ;1933;1964;1999;SD;The Cloak N Dagger Schemer;High;M525016;X
540017;Foreign Minister;미하일 베베르 ;1933;1964;1999;SD;Ideological Crusader;High;M525017;X
540018;Foreign Minister;예고르 라브로프 ;1933;1964;1999;SC;Apologetic Clerk;High;M525018;X
540019;Foreign Minister;루슬란 흐보스토프 ;1933;1964;1999;SC;Ideological Crusader;High;M525019;X
540020;Minister of Armament;아마드 벨레츠키 ;1933;1964;1999;ST;Theoretical Scientist;Medium;M525020;X
540021;Minister of Armament;아만 니콜라예프 ;1933;1964;1999;ST;Infantry Proponent;Medium;M525021;X
540022;Minister of Armament;아나톨리 보리셴코 ;1933;1964;1999;SD;Tank Proponent;Medium;M525022;X
540023;Minister of Armament;이작 바벨 ;1933;1964;1999;SD;Strategic Air Proponent;Medium;M525023;X
540024;Minister of Armament;살로몬 미호엘스 ;1933;1964;1999;SC;Military Entrepreneur;Medium;M525024;X
540025;Minister of Armament;보리스 이오판 ;1933;1964;1999;SC;Tank Proponent;Medium;M525025;X
540026;Minister of Security;예고르 팔린 ;1933;1964;1999;ST;Efficient Sociopath;Medium;M525026;X
540027;Minister of Security;부탈라예프 체르노프 ;1933;1964;1999;SD;Silent Lawyer;Medium;M525027;X
540028;Minister of Security;야코프 바쉬코프 ;1933;1964;1999;SD;Efficient Sociopath;Medium;M525028;X
540029;Minister of Security;루슬란 무라차예프 ;1933;1964;1999;SC;Prince of Terror;Medium;M525029;X
540030;Minister of Security;폴리나 젬추지나 ;1933;1964;1999;SC;Back Stabber;Medium;M525030;X
540031;Minister of Security;라만 말리코프 ;1933;1964;1999;SC;Compassionate Gentleman;Medium;M525031;X
540032;Head of Military Intelligence;투르군 프레미닌 ;1933;1964;1999;ST;Dismal Enigma;Medium;M525032;X
540033;Head of Military Intelligence;니키타 브레쉬코프 ;1933;1964;1999;SD;Political Specialist;Medium;M525033;X
540034;Head of Military Intelligence;아마툴란 로흘린 ;1933;1964;1999;SD;Naval Intelligence Specialist;Medium;M525034;X
540035;Head of Military Intelligence;미하일 콜초프 ;1933;1964;1999;SC;Political Specialist;Medium;M525035;X
540036;Head of Military Intelligence;브세볼로트 메이레르홀트 ;1933;1964;1999;SC;Logistics Specialist;Medium;M525036;X
540037;Chief of Staff;표트르 A. 바라바노프 ;1933;1964;1999;SD;School of Psychology;Medium;M525037;X
540038;Chief of Staff;슌차 라예프스 ;1933;1964;1999;SC;School of Mass Combat;Medium;M525038;X
540039;Chief of Army;세르게이 P. 바라노프 ;1933;1964;1999;SD;Decisive Battle Doctrine;Medium;M525039;X
540040;Chief of Army;라브렌티 베를린 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M525040;X
540041;Chief of Navy;알렉산드르 바투린 ;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M525010;X
540042;Chief of Navy;야굿 필리페프 ;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M525042;X
540043;Chief of Air Force;이스마엘 페트리코프 ;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M525043;X
540044;Chief of Air Force;에반 자도로쥐니 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M525044;X
