SYR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
430001;Head of State;무하마드 베이 알 아비드 ;1932;1964;1999;SL;Stern Imperialist;High;M528001;X
430002;Head of Government;다미앙 드 마르텔 ;1933;1964;1999;SL;Ambitious Union Boss;High;M528002;X
430003;Foreign Minister;자밀 마르담 바이 ;1933;1964;1999;SL;Great Compromiser;High;M528003;X
430004;Minister of Armament;파리스 알 코우리 ;1933;1964;1999;SL;Air to Ground Proponent;Medium;M528004;X
430005;Minister of Security;이브 모란다 ;1933;1964;1999;SL;Crooked Kleptocrat;Medium;M528005;X
430006;Head of Military Intelligence;다미앙 드 마르텔 ;1933;1964;1999;SL;Logistics Specialist;Medium;M528002;X
430007;Chief of Staff;앙리 아미엘 ;1933;1964;1999;SL;School of Manoeuvre;Medium;M528007;X
430008;Chief of Army;가브리엘 푸오 ;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M528008;X
430009;Chief of Navy;이브 드 루산케 ;1933;1964;1999;SL;Base Control Doctrine;Medium;M528009;X
430010;Chief of Air Force;크리스티안 쿠드레 ;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M528010;X
430011;Head of State;무하마드 알 자와히리 ;1933;1964;1999;PA;Autocratic Charmer;High;M528011;X
430012;Head of State;하심 알 아타시 ;1933;1964;1999;SL;Insignificant Layman;High;M528012;X
430013;Head of State;바히지 앗 딘 알 카티브 ;1939;1964;1999;SL;Barking Buffoon;High;M528013;X
430014;Head of State;타지 앗 딘 알 하사니 ;1928;1964;1999;SC;Weary Stiffneck;High;M528014;X
430015;Head of State;슈크리 알 쿠와이티 ;1943;1964;1999;SL;Benevolent Gentleman;High;M528015;X
430016;Head of State;루프티 알 하파르 ;1933;1964;1999;SC;Die-hard Reformer;High;M528016;X
430017;Head of Government;앙리 덴츠 ;1933;1964;1999;PA;Old General;High;9887;X
430018;Head of Government;가브리엘 푸오 ;1938;1964;1999;SL;Silent Workhorse;High;M528008;X
430019;Head of Government;조르주 카트로 ;1941;1964;1999;SL;Old General;High;L24029;X
