BUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
465001;Head of State;레지날드 도르먼 스미스 ;1933;1964;1999;ML;Stern Imperialist;High;M563001;X
465002;Head of Government;허버트 앨빈 란스 ;1933;1964;1999;ML;Naive Optimist;High;M563002;X
465003;Foreign Minister;아치발드 코크란 ;1933;1964;1999;ML;General Staffer;High;M563003;X
465004;Minister of Armament;로버트 피츠젠드릭스 ;1933;1964;1999;ML;Military Entrepreneur;Medium;M563004;X
465005;Minister of Security;존 콜린스 ;1933;1964;1999;ML;Crime Fighter;Medium;M563005;X
465006;Head of Military Intelligence;랄프 보텀리 ;1933;1964;1999;ML;Dismal Enigma;Medium;M563006;X
465007;Chief of Staff;아치발드 코크란 ;1933;1964;1999;ML;School of Defence;Medium;M563003;X
465008;Chief of Army;도날드 클락슨 ;1933;1964;1999;ML;Static Defence Doctrine;Medium;M563008;X
465009;Chief of Navy;허버트 스코트 페인 ;1933;1964;1999;ML;Power Projection Doctrine;Medium;M563009;X
465010;Chief of Air Force;P.C. 몰트비 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M563010;X
465011;Head of State;타킨 바이 테이 친 ;1933;1964;1999;ST;Ruthless Powermonger;High;M563011;X
465012;Head of State;사오 쉐이 타이크 ;1933;1964;1999;SD;Die-hard Reformer;High;M563012;X
465013;Head of State;사오 양 웬 핀 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M563013;X
465014;Head of State;바 우 ;1933;1964;1999;FA;Insignificant Layman;High;M563014;X
465015;Head of Government;타킨 소에 부 ;1933;1964;1999;ST;Old Admiral;High;M563015;X
465016;Head of Government;아웅 산 ;1933;1964;1999;SD;Old General;High;M563016;X
465017;Head of Government;사오 에드워드 양 키예인 카이 ;1933;1964;1999;PA;Political Protege;High;M563017;X
465018;Head of Government;바 마우 ;1933;1964;1999;FA;Flamboyant Tough Guy;High;M563018;X
465019;Foreign Minister;타이크 툰 ;1933;1964;1999;ST;Ideological Crusader;High;M563019;X
465020;Foreign Minister;우 탄트 ;1933;1964;1999;SD;Great Compromiser;High;M563020;X
465021;Foreign Minister;타킨 누 ;1933;1964;1999;PA;Apologetic Clerk;High;M563021;X
465022;Foreign Minister;갈론 사 오 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M563022;X
465023;Minister of Armament;타킨 바 타웅 ;1933;1964;1999;ST;Submarine Proponent;Medium;M563023;X
465024;Minister of Armament;웅 구이 ;1933;1964;1999;SD;laissez-faire capitalist;Medium;M563024;X
465025;Minister of Armament;제임스 프랭클린 ;1933;1964;1999;PA;Administrative Genius;Medium;M563025;X
465026;Minister of Armament;바 킨 ;1933;1964;1999;FA;Air to Ground Proponent;Medium;M563026;X
465027;Minister of Security;A.N. 가오살 ;1933;1964;1999;ST;Man of the People;Medium;M563027;X
465028;Minister of Security;윙 마웅 ;1933;1964;1999;SD;Back Stabber;Medium;M563028;X
465029;Minister of Security;세인 르윈 ;1933;1964;1999;PA;Silent Lawyer;Medium;M563029;X
465030;Minister of Security;네 윈 ;1933;1964;1999;FA;Compassionate Gentleman;Medium;L101130;X
465031;Head of Military Intelligence;헴 찬드라 마준다르 ;1933;1964;1999;ST;Industrial Specialist;Medium;M563031;X
465032;Head of Military Intelligence;흘라 마잉 ;1933;1964;1999;SD;Logistics Specialist;Medium;M563032;X
465033;Head of Military Intelligence;세실 크라우치 포드 ;1933;1964;1999;PA;Political Specialist;Medium;M563033;X
465034;Head of Military Intelligence;케네코 토요지 ;1933;1964;1999;FA;Technical Specialist;Medium;M563034;X
465035;Chief of Staff;네 윈 ;1933;1964;1999;ST;School of Manoeuvre;Medium;L101130;X
465036;Chief of Staff;스미스 던 ;1933;1964;1999;SD;School of Psychology;Medium;M563036;X
465037;Chief of Staff;메이슨 피츠제럴드 ;1941;1964;1999;ML;School of Fire Support;Medium;M563037;X
465038;Chief of Staff;보 마 ;1933;1964;1999;PA;School of Mass Combat;Medium;M563038;X
465039;Chief of Staff;쿤 사 ;1933;1964;1999;FA;School of Manoeuvre;Medium;M563039;X
465040;Chief of Army;마웅 친 ;1933;1964;1999;ST;Decisive Battle Doctrine;Medium;M563040;X
465041;Chief of Army;아웅 산 ;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M563016;X
465042;Chief of Army;윌리엄 메릭 ;1943;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M563042;X
465043;Chief of Army;갈론 사 오 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M563022;X
465044;Chief of Army;네 윈 ;1933;1964;1999;FA;Decisive Battle Doctrine;Medium;L101130;X
465045;Chief of Navy;타킨 소에 부 ;1933;1964;1999;ST;Indirect Approach Doctrine;Medium;M563015;X
465046;Chief of Navy;친 마웅 소에 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M563046;X
465047;Chief of Navy;클루데 포이그데스트레 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M563047;X
465048;Chief of Navy;흐사야 마웅 타우 카 ;1933;1964;1999;FA;Open Seas Doctrine;Medium;M563048;X
465049;Chief of Air Force;타이크 툰 ;1933;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M563019;X
465050;Chief of Air Force;나우 셍 ;1933;1964;1999;SD;Naval Aviation Doctrine;Medium;M563050;X
465051;Chief of Air Force;아이크 루크 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M563051;X
465052;Chief of Air Force;틴 툰 ;1933;1964;1999;FA;Carpet Bombing Doctrine;Medium;M563052;X
465053;Head of State;바 오 ;1952;1964;1999;LWR;Stern Imperialist;High;M563014;X
465054;Head of Government;우 누 ;1948;1964;1999;SD;Smiling Oilman;High;M563054;X
