POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
60001;Head of State;이그나츠 모시츠키 ;1926;1964;1999;PA;Stern Imperialist;High;M13001;X
60002;Head of Government;카마리안 코시치우코프스키 ;1933;1964;1999;PA;Flamboyant Tough Guy;High;M13002;X
60003;Foreign Minister;유제프 베크 ;1933;1964;1999;PA;General Staffer;High;M13003;X
60004;Minister of Armament;타데우치 카스프치스키 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M13004;X
60005;Minister of Security;브와디스와프 라치키에비치 ;1933;1964;1999;PA;Crime Fighter;Medium;M13005;X
60006;Head of Military Intelligence;타데우치 페우친스키 ;1933;1964;1999;PA;Logistics Specialist;High;M13006;X
60007;Chief of Staff;에드바르트 리츠 시미그위 ;1933;1942;1942;PA;School of Defence;High;M13007;X
60008;Chief of Army;에드바르트 리츠 시미그위 ;1933;1942;1942;PA;Decisive battle doctrine;High;M13007;X
60009;Chief of Navy;예르지 시비르스키 ;1918;1964;1999;PA;Open Seas Doctrine;Medium;M13009;X
60010;Chief of Air Force;유제프 자용츠 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M13010;X
60011;Head of State;카지미에쉬 소슨카우프스키 ;1939;1964;1999;SC;Resigned Generalissimo;High;M13032;X
60012;Head of State;볼레스와프 비에루트 ;1945;1964;1999;LWR;Stern Imperialist;High;M13033;X
60013;Head of State;볼레스와프 비에루트 ;1947;1964;1999;ST;Barking Buffoon;High;M13033;X
60014;Head of State;볼레스와프 비냐바 우고샤우프스키 ;1939;1964;1999;SL;Benevolent Gentleman;High;M13035;X
60015;Head of State;이그나츠 얀 파데레프스키 ;1933;1964;1999;SC;Weary Stiffneck;High;M13036;X
60016;Head of State;브와디스와프 라치키에비치 ;1939;1964;1999;ML;Insignificant Layman;High;M13005;X
60017;Head of State;반다 바실례프스카 ;1937;1964;1999;LWR;Die-hard Reformer;High;M13038;X
60018;Head of State;브와디스와프 고뭐카 ;1942;1964;1999;LWR;Popular Figurehead;High;M13039;X
60019;Head of State;발레리 스와베크 ;1933;1964;1999;PA;Insignificant Layman;High;M13040;X
60020;Head of Government;펠리치얀 스콰드코프스키 ;1933;1964;1999;PA;Naive Optimist;High;M13041;X
60021;Head of Government;보이치에흐 코르판트 ;1933;1964;1999;SL;Happy Amateur;High;M13042;X
60022;Head of Government;브와디스와프 시코르스키 ;1922;1944;1957;SC;Old General;High;M13043;X
60023;Head of Government;스타니슬라스 A. 네으만 ;1939;1964;1999;SD;Smiling Oilman;High;M13044;X
60024;Head of Government;미에츠스와프 미하워비츠 ;1942;1964;1999;SD;Ambitious Union Boss;High;M13045;X
60025;Head of Government;스타니스와프 미코와이츠크 ;1943;1964;1999;ML;Corporate Suit;High;M13046;X
60026;Head of Government;토마슈 아르치시에프스키 ;1944;1964;1999;SL;Political Protege;High;M13047;X
60027;Head of Government;에드바르트 모라프스키 ;1945;1964;1999;LWR;Political Protege;High;M13022;X
60028;Head of Government;요제프 시엔키에비치 ;1947;1964;1999;ST;Silent Workhorse;High;M13049;X
