U87;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1250001;Head of Government;왕징웨이 ;1905;1945;1958;NS;Backroom Backstabber;Very High;M52041;X
1250002;Head of State;왕징웨이 ;1905;1945;1958;FA;Local tyrant2;Very High;M52041;X
1250003;Head of Government;저우포하이 ;1933;1964;1999;FA;Political Protege;Very High;8142;X
1250004;Foreign Minister;추민이 ;1933;1964;1999;FA;Biased Intellectual;Very High;8143;X
1250005;Minister of Armament;저우포하이 ;1933;1964;1999;FA;Resource Industrialist;Very High;8142;X
1250006;Minister of Security;천궁보 ;1926;1947;1968;FA;Crime Fighter;Very High;M52014;X
1250007;Head of Military Intelligence;리스춘 ;1932;1944;1944;FA;Political Specialist;Very High;9433;X
1250008;Chief of Staff;바오원웨 ;1931;1937;1958;FA;School of Mass Combat;Very High;9437;X
1250009;Chief of Army;샤오수솬 ;1933;1964;1999;FA;Static Defence Doctrine;Very High;8144;X
1250010;Chief of Air Force;천창추 ;1933;1964;1999;FA;Air Superiority Doctrine;Very High;M52020;X
1250011;Head of State;천공보 ;1944;1964;1999;FA;Local tyrant2;High;M52014;X
1250012;Chief of Staff;샤오수솬 ;1933;1964;1999;FA;School of Defence;Very High;8144;X
1250013;Minister of Security;딩모툰 ;1939;1964;1999;FA;Secret police chief;Very High;M52015;X
1250014;Chief of Air Force;다다 하야오 ;1936;1964;1999;NS;Army Aviation Doctrine;Very High;8624;X
1250015;Chief of Army;아베 노부유키 ;1940;1964;1999;PA;Elastic Defence Doctrine;Medium;8592;X
1250016;Chief of Army;바오원웨 ;1931;1937;1958;FA;Static Defence Doctrine;Very High;9437;X
1250017;Chief of Army;량홍즈 ;1936;1964;1999;NS;Decisive Battle Doctrine;Very High;9132;X
1250018;Chief of Army;왕잉 ;1936;1964;1999;PA;Elastic Defence Doctrine;Very High;unknownminister;X
1250019;Chief of Army;저우포하이 ;1933;1964;1999;FA;Guns and Butter Doctrine;Very High;8142;X
1250020;Chief of Navy;시안공저 ;1936;1964;1999;FA;Open Seas Doctrine;Very High;unknownminister;X
1250021;Chief of Navy;션홍리에 ;1936;1964;1999;NS;Decisive Naval Battle Doctrine;Very High;unknownminister;X
1250022;Chief of Staff;아베 노부유키 ;1939;1964;1999;PA;School of Defence;Medium;8592;X
1250023;Chief of Staff;다다 하야오 ;1936;1964;1999;FA;School of Manoeuvre;Very High;8624;X
1250024;Chief of Staff;량홍즈 ;1936;1964;1999;FA;School of Fire Support;Very High;9132;X
1250025;Chief of Staff;치셰위안 ;1937;1945;1945;FA;School of Fire Support;Low;M52017;X
1250026;Chief of Staff;데이이치 스즈키 ;1936;1964;1999;FA;School of Psychology;Very High;9726;X
1250027;Chief of Staff;양쿠이이 ;1939;1964;1999;FA;School of Manoeuvre;Very High;9727;X
1250028;Foreign Minister;아베 노부유키 ;1942;1964;1999;PA;General Staffer;Medium;8592;X
1250029;Foreign Minister;왕징웨이 ;1905;1945;1958;FA;Biased Intellectual;Medium;M52041;X
1250030;Foreign Minister;양루창 ;1944;1964;1999;FA;Great Compromiser;Medium;unknownminister;X
1250031;Foreign Minister;저우포하이 ;1936;1964;1999;NS;Iron Fisted Brute;Very High;8142;X
1250032;Head of Government;천공보 ;1940;1964;1999;FA;Silent Workhorse;Very High;M52014;X
1250033;Head of Government;량홍즈 ;1936;1964;1999;FA;Happy Amateur;Very High;9132;X
1250034;Head of Military Intelligence;자오공 ;1937;1964;1999;FA;Political Specialist;Medium;8593;X
1250035;Head of Military Intelligence;자오공 ;1937;1964;1999;FA;Political Specialist;Medium;8593;X
1250036;Head of State;량홍즈 ;1936;1964;1999;FA;Pig-headed Isolationist;Very High;9132;X
1250037;Minister of Armament;바오원웨 ;1931;1937;1958;FA;Infantry Proponent;Very High;9437;X
1250038;Minister of Armament;천궁보 ;1939;1964;1999;FA;laissez-faire capitalist;Medium;M52014;X
1250039;Minister of Armament;푸샤오안 ;1936;1964;1999;PA;Resource Industrialist;Very High;8595;X
1250040;Minister of Armament;타오량 ;1936;1964;1999;PA;Resource Industrialist;Very High;unknownminister;X
1250041;Minister of Armament;양루창 ;1941;1964;1999;FA;Resource Industrialist;Medium;unknownminister;X
1250042;Minister of Security;찬혼삼 ;1943;1964;1999;FA;Prince of Terror;High;unknownminister;X
1250043;Minister of Security;저우포하이 ;1936;1964;1999;FA;Efficient Sociopath;Very High;8625;X
1250044;Head of State;잉루겅 ;1913;1947;1947;FA;Local tyrant2;Very High;9593;X
1250045;Head of Government;잉루겅 ;1913;1947;1947;FA;Local tyrant;Very High;9593;X
1250046;Foreign Minister;도이하라 겐지 ;1927;1948;1948;FA;ideological crusader;Very High;M5193;X
1250047;Minister of Armament;도이하라 겐지 ;1927;1948;1948;FA;infantry proponent;Very High;M5193;X
1250048;Minister of Security;도이하라 겐지 ;1927;1948;1948;FA;prince of terror;Very High;M5193;X
1250049;Head of Military Intelligence;도야마 미쓰루 ;1881;1944;1944;NS;political specialist;Very High;9592;X
1250050;Minister of Security;왕이탕 ;1907;1931;1948;PA;Crime Fighter;High;9479;X
1250051;Minister of Armament;왕커민 ;1907;1945;1945;PA;Corrupt Kleptocrat;High;9499;X
1250052;Minister of Security;주선 ;1912;1944;1944;PA;Crime Fighter;High;9503;X
1250053;Minister of Armament;리시하오 ;1919;1949;1949;PA;Resource Industrialist;Medium;9504;X
1250054;Minister of Security;가오링웨이 ;1910;1940;1940;PA;Compassionate Gentleman;High;9521;X
1250055;Minister of Armament;장후 ;1904;1938;1938;PA;Resource Industrialist;Medium;9522;X
1250056;Head of State;가오링웨이 ;1910;1926;1940;PA;Weary Stiffneck;Low;9521;X
1250057;Minister of Armament;가오링웨이 ;1910;1926;1940;PA;Resource Industrialist;Medium;9521;X
1250058;Head of Government;가오링웨이 ;1910;1926;1940;PA;Political Protege;Low;9521;X
1250059;Minister of Armament;리우언위안 ;1895;1924;1948;PA;Military Entrepreneur;Medium;9537;X
1250060;Minister of Armament;장잉화 ;1918;1926;1944;PA;Administrative Genius;Medium;9539;X
1250061;Chief of Staff;런위안다오 ;1924;1945;1956;FA;School of Defence;High;9447;X
1250062;Minister of Armament;런위안다오 ;1931;1945;1956;FA;Corrupt Kleptocrat;High;9447;X
1250063;Chief of Navy;런위안다오 ;1940;1945;1956;FA;Open Seas Doctrine;High;9447;X
1250064;Chief of Staff;Hu Yukun;1938;1946;1999;FA;School of Psychology;Very High;9725;X
