TEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
780001;Head of State;제임스 버 V. 얼레드 ;1933;1964;1999;PA;Ruthless Powermonger;High;M571001;X
780002;Head of Government;윌리엄 리 오다니엘 ;1933;1964;1999;PA;Political Protege;High;M571002;X
780003;Foreign Minister;J. T. 렌프류 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M571003;X
780004;Minister of Armament;제시 H. 존스 ;1933;1964;1999;PA;Construction magnate;Medium;M571004;X
780005;Minister of Security;오스카 F. 홀콤 ;1933;1964;1999;PA;Man of the People;Medium;M571005;X
780006;Head of Military Intelligence;오티스 마세이 ;1933;1964;1999;PA;Dismal Enigma;Medium;M571006;X
780007;Chief of Staff;해리 녹스 Jr.;1933;1964;1999;PA;School of Fire Support;Medium;M571007;X
780008;Chief of Army;존 B. 리케츠 ;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M571008;X
780009;Chief of Navy;리 휴 폴라드 3세 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M571009;X
780010;Chief of Air Force;도널 W. 아밍턴 ;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M571010;X
780011;Foreign Minister;리 O. 윌러드 ;1941;1964;1999;PA;General Staffer;High;M571011;X
780012;Foreign Minister;코크 R. 스티븐슨 ;1943;1964;1999;PA;Iron Fisted Brute;High;M571012;X
780013;Minister of Armament;로버트 L. 딜러드 ;1939;1964;1999;PA;Theoretical Scientist;Medium;M571013;X
780014;Minister of Armament;아서 텐니 에머슨 ;1943;1964;1999;PA;Battle Fleet Proponent;Medium;M571014;X
780015;Minister of Armament;로이 호프하인즈 ;1944;1964;1999;PA;Administrative Genius;Medium;M571015;X
780016;Minister of Armament;존 E. 앤더슨 ;1946;1964;1999;PA;Military Entrepreneur;Medium;M571016;X
780017;Minister of Security;코넬리어스 피켓 ;1937;1964;1999;PA;Efficient Sociopath;Medium;M571017;X
780018;Minister of Security;우달 로저스 ;1944;1964;1999;PA;Compassionate Gentleman;Medium;M571018;X
780019;Minister of Security;마이클 알드리지 할런 ;1945;1964;1999;PA;Crime Fighter;Medium;M571019;X
780020;Minister of Security;조지 시어전트 ;1946;1964;1999;PA;Prince of Terror;Medium;M571020;X
780021;Head of Military Intelligence;샘 J. 어빈 Jr.;1942;1964;1999;PA;Political Specialist;Medium;M571021;X
780022;Head of Military Intelligence;로버트 얼 셔먼 ;1945;1964;1999;PA;Industrial Specialist;Medium;M571022;X
780023;Chief of Staff;래리 K. 아놀드 ;1942;1964;1999;PA;School of Manoeuvre;Medium;M571023;X
780024;Chief of Staff;리 O. 윌러드 ;1944;1964;1999;PA;School of Psychology;Medium;M571011;X
780025;Chief of Army;R. J. 스토크만 ;1939;1964;1999;PA;Static Defence Doctrine;Medium;M571025;X
780026;Chief of Army;마이런 G. 애쉬크로프트 ;1943;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M571026;X
780027;Chief of Navy;필립 R. 부시 ;1941;1964;1999;PA;Indirect Approach Doctrine;Medium;M571027;X
780028;Chief of Air Force;리처드 C. 콜린스 ;1943;1964;1999;PA;Army Aviation Doctrine;Medium;M571028;X
