SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
255001;Head of State;니세토 알칼라 사모라 ;1933;1964;1999;SC;Weary Stiffneck;High;7381;X
255002;Head of Government;마누엘 포르텔라 ;1933;1964;1999;SC;Naive Optimist;High;7384;X
255003;Foreign Minister;호아킨 우르사이스 ;1933;1964;1999;ML;Apologetic Clerk;Low;M11003;X
255004;Minister of Armament;호세 멘디사발 ;1933;1964;1999;SC;Infantry Proponent;Medium;M11004;X
255005;Minister of Security;마누엘 포르텔라 ;1933;1964;1999;SC;Silent Lawyer;High;7384;X
255006;Head of Military Intelligence;후안 에르난데스 ;1933;1964;1999;ML;Technical Specialist;Medium;7385;X
255007;Chief of Staff;호세 미아하 메난트 ;1933;1964;1999;SC;School of Mass Combat;Medium;7386;X
255008;Chief of Army;니콜라스 몰레로 로보 ;1933;1964;1999;SC;Static Defence Doctrine;Very High;M11008;X
255009;Chief of Navy;안토니오 아사롤라 ;1933;1964;1999;SL;Indirect Approach Doctrine;High;7444;X
255010;Chief of Air Force;미구엘 데 프라도 ;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;7446;X
255011;Head of State;마누엘 아사냐 디아스 ;1930;1940;1999;SL;Pig-headed Isolationist;High;7996;X
255012;Head of State;아우구스토 트레예스 ;1933;1964;1999;SD;Insignificant Layman;High;7997;X
255013;Head of State;알바로 데 알보노스 ;1938;1964;1999;LWR;Powerhungry Demagogue;High;M11038;X
255014;Head of State;프란시스코 라르고 ;1938;1964;1999;SD;Barking Buffoon;High;M11039;X
255015;Head of State;전국노동자연맹 중앙위 ;1938;1964;1999;LE;Insignificant Layman;High;M11040;X
255016;Head of State;디에고 마르티네스 ;1939;1964;1999;SD;Benevolent Gentleman;High;M11041;X
255017;Head of State;호세 디아스 라모스 ;1939;1964;1999;ST;Barking Buffoon;High;M11021;X
255018;Head of State;훌리안 베스테이로 ;1945;1964;1999;LWR;Insignificant Layman;High;M11044;X
255019;Head of State;후안 네그린 로페스 ;1933;1964;1999;LWR;Die-hard Reformer;High;7998;X
255020;Head of State;도로레스 이바우리 고메스 ;1942;1964;1999;ST;Ruthless Powermonger;High;M11049;X
255021;Head of State;알레한드로 레로욱스 ;1942;1964;1999;SD;Insignificant Layman;High;M11051;X
255022;Head of State;후안 3세 ;1944;1964;1999;SC;Benevolent Gentleman;High;M11011;X
255023;Head of State;후안 3세 ;1933;1964;1999;PA;Benevolent Gentleman;High;M11011;X
255024;Head of Government;호세 디아스 라모스 ;1933;1964;1999;ST;Ambitious Union Boss;High;M11021;X
255025;Head of Government;산티아고 카르리요 ;1942;1964;1999;ST;Political Protege;High;M11059;X
255026;Head of Government;후안 네그린 로페스 ;1937;1964;1999;LWR;Naive Optimist;High;8139;X
255027;Head of Government;호아킨 아스카소 ;1938;1964;1999;LE;Happy Amateur;High;M11061;X
255028;Head of Government;프란시스코 라르고 ;1933;1964;1999;LWR;Smiling Oilman;High;M11039;X
255029;Head of Government;루이스 데 아수아 ;1939;1964;1999;LWR;Ambitious Union Boss;High;M11063;X
255030;Head of Government;마누엘 아사냐 디아스 ;1930;1940;1999;SD;Silent Workhorse;High;7996;X
255031;Head of Government;인달렌시오 프리에토 ;1939;1964;1999;SD;Political Protege;High;M11065;X
255032;Head of Government;산티아고 카사레스 ;1933;1964;1999;SD;Corporate Suit;High;M11066;X
255033;Head of Government;호세 기랄 페레이라 ;1933;1964;1999;SD;Naive Optimist;High;M11067;X
255034;Head of Government;마누엘 포르텔라 ;1933;1964;1999;SL;Naive Optimist;High;7384;X
255035;Head of Government;디에고 마르티네스 ;1944;1964;1999;SL;Backroom Backstabber;High;M11069;X
255036;Head of Government;호세 마리아 퀴뇨네스 ;1933;1964;1999;SC;Political Protege;High;M11012;X
