OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
720001;Head of State;압뒬하미드 2세 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M549001;X
720002;Head of Government;압둘하미드 탈라아트 파샤 ;1933;1964;1999;PA;Political Protege;High;M549002;X
720003;Foreign Minister;사이드 할림 ;1933;1964;1999;PA;Great Compromiser;Very High;2902;X
720004;Minister of Armament;케디르 엔베르 파샤 ;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M549004;X
720005;Minister of Security;하슬림 나짐 파샤 ;1933;1964;1999;PA;Back Stabber;Medium;M549005;X
720006;Head of Military Intelligence;카디르 몬제프 베이 ;1933;1964;1999;PA;Logistics Specialist;Medium;M549006;X
720007;Chief of Staff;자히트 베다트 파샤 ;1933;1964;1999;PA;School of Fire Support;Medium;M549007;X
720008;Chief of Army;무스타파 케말 파샤 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M549008;X
720009;Chief of Navy;후세인 라우프 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M549009;X
720010;Chief of Air Force;케디르 엔베르 파샤 ;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M549010;X
720012;Head of State;아흐마드 니크하드 ;1933;1964;1999;ML;Autocratic Charmer;High;M549012;X
720013;Head of State;오스만 푸아드 ;1933;1964;1999;SD;Die-hard Reformer;High;M549013;X
720014;Head of Government;후세인 아브니 파샤 ;1933;1964;1999;SC;Old General;High;M549014;X
720015;Head of Government;레피크 세미르 베이 ;1933;1964;1999;ML;Smiling Oilman;High;M549015;X
720016;Head of Government;아흐메드 트시리 베이 ;1933;1964;1999;SD;Corporate Suit;High;M549016;X
720017;Foreign Minister;오마르 라타스 파샤 ;1940;1964;1999;PA;General Staffer;High;M549017;X
720018;Foreign Minister;압둘 마지드 칸 ;1941;1964;1999;PA;Apologetic Clerk;High;M549018;X
720019;Foreign Minister;메흐메트 나미드 케말 베이 ;1933;1964;1999;SC;Biased Intellectual;High;M549019;X
720020;Foreign Minister;바시르 라미 베이 ;1933;1964;1999;ML;Iron Fisted Brute;High;M549020;X
720021;Foreign Minister;가아파르 왈리 파샤 ;1933;1964;1999;SD;Great Compromiser;High;M549021;X
720022;Foreign Minister;알리 비사브 ;1943;1964;1999;SD;Ideological Crusader;High;M549022;X
720023;Minister of Armament;알리 에민 파샤 ;1942;1964;1999;PA;Theoretical Scientist;Medium;M549023;X
720024;Minister of Armament;후세인 카밀 ;1933;1964;1999;SC;Air to Ground Proponent;Medium;M549024;X
720025;Minister of Armament;에르칸 자비드 파샤 ;1939;1964;1999;SC;Administrative Genius;Medium;M549025;X
720026;Minister of Armament;유세프 하미드 베이 ;1933;1964;1999;ML;Military Entrepreneur;Medium;M549026;X
720027;Minister of Armament;이브라힘 시나시 ;1933;1964;1999;SD;Submarine Proponent;Medium;M549027;X
720028;Minister of Armament;우디 세밀 베이 ;1941;1964;1999;SD;Infantry Proponent;Medium;M549028;X
720029;Minister of Security;라마잔 도그라마지 ;1941;1964;1999;PA;Efficient Sociopath;Medium;M549029;X
720030;Minister of Security;에스키바스칸 다흐메트 베이 ;1933;1964;1999;SC;Prince of Terror;Medium;M549030;X
720031;Minister of Security;후르피트 겔리크 ;1941;1964;1999;SC;Silent Lawyer;Medium;M549031;X
720032;Minister of Security;아리프 다자니 파샤 ;1933;1964;1999;ML;Crime Fighter;Medium;M549032;X
720033;Minister of Security;오메르 세브키 베이 ;1933;1964;1999;SD;Compassionate Gentleman;Medium;M549033;X
720034;Head of Military Intelligence;하미트 사하프 베이 ;1933;1964;1999;SC;Technical Specialist;Medium;M549034;X
720035;Head of Military Intelligence;오크탄 할리스 ;1933;1964;1999;ML;Naval Intelligence Specialist;Medium;M549035;X
720036;Head of Military Intelligence;모하메드 세라게딘 파샤 ;1933;1964;1999;SD;Dismal Enigma;Medium;M549036;X
720037;Chief of Staff;이스메트 이뇌누 파샤 ;1941;1964;1999;PA;School of Defence;Medium;M549037;X
720038;Chief of Staff;토팔 오스만 ;1933;1964;1999;SC;School of Psychology;Medium;M549038;X
720039;Chief of Staff;메흐메트 키아밀 파샤 ;1933;1964;1999;ML;School of Mass Combat;Medium;M549039;X
720040;Chief of Staff;오스만 푸아드 ;1933;1964;1999;SD;School of Manoeuvre;Medium;M549013;X
720041;Chief of Army;후세인 아브니 파샤 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;M549014;X
720042;Chief of Army;에크멜레딘 윌퀴 ;1933;1964;1999;ML;Decisive Battle Doctrine;Medium;M549042;X
720043;Chief of Army;페브시 튈린 ;1933;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M549043;X
720044;Chief of Navy;압둘 하미드 지아 파샤 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M549044;X
720045;Chief of Navy;아흐마드 니크하드 ;1933;1964;1999;ML;Base Control Doctrine;Medium;M549012;X
720046;Chief of Navy;하미트 페리카노블루 ;1933;1964;1999;SD;Power Projection Doctrine;Medium;M549046;X
720048;Chief of Air Force;데니즈 우체 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M549048;X
720049;Chief of Air Force;메수트 세리프 파샤 ;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M549049;X
720050;Head of State;압뒬하미드 2세 ;1908;1918;1999;PA;autocratic charmer;Medium;1657;X
720051;Head of State;메흐메트 5세 ;1908;1919;1999;SC;weary stiffneck;Medium;2917;X
720052;Head of State;메흐메트 6세 ;1908;1926;1999;SC;insignificant layman;Medium;3779;X
720053;Head of State;압뒬메지트 2세 ;1908;1944;1999;SC;popular figurehead;Medium;2545;X
720054;Head of Government;아블론야르 메흐메드 페리드 ;1908;1914;1999;PA;political protege;Medium;2555;X
720055;Head of Government;메흐메드 사이드 ;1908;1914;1999;SC;flamboyant tough guy;Medium;3771;X
720056;Head of Government;휘세인 힐미 ;1908;1922;1999;SC;backroom backstabber;Medium;3757;X
720057;Head of Government;아흐메드 테브픽 오크다이 ;1908;1936;1999;SC;silent workhorse;Medium;2549;X
720058;Head of Government;이브라힘 하키 ;1908;1918;1999;SC;smiling oilman;Medium;3761;X
720059;Head of Government;아흐메드 무타르 ;1908;1919;1999;SC;naive optimist;Medium;2551;X
720060;Head of Government;키브리슬리 메흐메드 카밀 ;1908;1913;1999;SC;corporate suit;Medium;3764;X
720061;Head of Government;마흐무드 세브케트 ;1908;1913;1999;SC;smiling oilman;Medium;3767;X
720062;Head of Government;사이드 할림 ;1908;1921;1999;SC;silent workhorse;Medium;2902;X
720063;Head of Government;메흐메드 탈라트 ;1908;1921;1999;SC;happy amateur;Medium;3773;X
720064;Head of Government;아흐메드 이세트 ;1908;1937;1999;SC;backroom backstabber;Medium;2550;X
720065;Head of Government;다마트 메흐메드 페리트 ;1908;1923;1999;SC;ambitious union boss;Medium;2556;X
720066;Head of Government;뒤즈타반 알리 리자 ;1908;1932;1999;SC;flamboyant tough guy;Medium;2558;X
720067;Head of Government;살리흐 훌루시 케즈라크 ;1908;1939;1999;SC;political protege;Medium;7753;X
720068;Foreign Minister;아흐메드 테브픽 오크다이 ;1908;1936;1999;PA;iron fisted brute;Medium;2549;X
720069;Foreign Minister;메흐메드 리파트 ;1908;1925;1999;SC;general staffer;Medium;unknownminister;X
720070;Foreign Minister;이브라힘 하키 ;1908;1918;1999;SC;ideological crusader;Medium;3761;X
720071;Foreign Minister;무스타파 아심 투르구트 ;1908;1937;1999;SC;great compromiser;Medium;unknownminister;X
720072;Foreign Minister;가브리엘 노라둔키얀 ;1908;1936;1999;SC;apologetic clerk;Medium;3754;X
720073;Foreign Minister;사이드 할림 ;1908;1921;1999;SC;biased intellectual;Medium;2902;X
720074;Foreign Minister;하릴 ;1908;1936;1999;SC;the cloak n dagger schemer;Medium;3755;X
720075;Foreign Minister;아흐메드 네시미 사이만 ;1908;1958;1999;SC;iron fisted brute;Medium;unknownminister;X
720076;Foreign Minister;메네멘리자데 메흐메드 나비 ;1918;1924;1999;SC;general staffer;Medium;3997;X
720077;Foreign Minister;무스타파 레시트 ;1918;1924;1999;SC;ideological crusader;Medium;442;X
720078;Foreign Minister;유수프 프란코 ;1918;1933;1999;SC;great compromiser;Medium;8709;X
720079;Foreign Minister;다마트 메흐메드 페리트 ;1920;1923;1999;SC;apologetic clerk;Medium;2556;X
720080;Foreign Minister;압뒬라티프 사파 ;1920;1940;1999;SC;biased intellectual;Medium;unknownminister;X
720081;Foreign Minister;아흐메드 이세트 ;1920;1937;1999;SC;the cloak n dagger schemer;Medium;2550;X
720082;Minister of Armament;외메르 뤼쉬튀 ;1908;1922;1999;SC;infantry proponent;Medium;8720;X
720083;Minister of Armament;레제프 ;1908;1925;1999;SC;tank proponent;Medium;unknownminister;X
720084;Minister of Armament;뒤즈타반 알리 리자 ;1908;1932;1999;SC;military entrepreneur;Medium;2558;X
720085;Minister of Armament;나짐 ;1908;1913;1999;SC;air to ground proponent;Medium;443;X
720086;Minister of Armament;이브라힘 에드헴 ;1908;1922;1999;SC;air to sea proponent;Medium;unknownminister;X
720087;Minister of Armament;살리흐 훌루시 케즈라크 ;1908;1939;1999;SC;air superiority proponent;Medium;7753;X
720088;Minister of Armament;마흐무드 세브케트 ;1908;1913;1999;SC;strategic air proponent;Medium;3767;X
720089;Minister of Armament;후루시트 ;1908;1922;1999;SC;infantry proponent;Medium;unknownminister;X
720090;Minister of Armament;아흐메드 이세트 ;1908;1937;1999;SC;air to ground proponent;Medium;2550;X
720091;Minister of Armament;쥐뤼크술루 마흐무드 ;1908;1936;1999;SC;air to sea proponent;Medium;2557;X
720092;Minister of Armament;이스마일 엔베르 ;1908;1922;1999;PA;air superiority proponent;Medium;3763;X
720093;Minister of Armament;쾰레멘 압둘라 ;1908;1937;1999;SC;infantry proponent;Medium;3765;X
720094;Minister of Armament;이스마일 제바트 조반리 ;1908;1938;1999;SC;tank proponent;Medium;3762;X
720095;Minister of Armament;외메르 야베르 ;1919;1931;1999;SC;military entrepreneur;Medium;unknownminister;X
720096;Minister of Armament;다마트 페리드 ;1919;1923;1999;SC;air to ground proponent;Medium;unknownminister;X
720097;Minister of Armament;아부크 아흐메드 ;1919;1923;1999;SC;air to sea proponent;Medium;unknownminister;X
720098;Minister of Armament;메흐메드 샤키르 ;1919;1919;1999;SC;air superiority proponent;Medium;3777;X
720099;Minister of Armament;세브케트 투르구트 ;1919;1924;1999;SC;strategic air proponent;Medium;8148;X
720100;Minister of Armament;나짐 ;1919;1936;1999;SC;tank proponent;Medium;unknownminister;X
720101;Minister of Armament;쉴레이만 세피크 ;1919;1936;1999;SC;military entrepreneur;Medium;8693;X
720102;Minister of Armament;메르신리 메흐메드 제말 ;1919;1941;1999;SC;air to ground proponent;Medium;unknownminister;X
720103;Minister of Armament;페브지 자크마크 ;1920;1950;1999;SC;air superiority proponent;Medium;2561;X
720104;Minister of Armament;휘세인 휘스뉘 ;1920;1936;1999;SC;infantry proponent;Medium;3759;X
720105;Minister of Armament;지야 쿠트나크 ;1920;1940;1999;SC;tank proponent;Medium;8717;X
720106;Minister of Armament;메흐메드 젤라레딘 ;1908;1933;1999;PA;battle fleet proponent;Medium;unknownminister;X
720107;Minister of Armament;하산 라미 ;1908;1923;1999;PA;submarine proponent;Medium;3756;X
720108;Minister of Armament;알리조티 이브라힘 하릴 ;1908;1923;1999;SC;battle fleet proponent;Medium;unknownminister;X
720109;Minister of Armament;아리프 히크메트 ;1908;1915;1999;SC;submarine proponent;Medium;unknownminister;X
720110;Minister of Armament;휘세인 휘스뉘 ;1908;1926;1999;SC;battle fleet proponent;Medium;3759;X
720111;Minister of Armament;알리 리자 ;1908;1932;1999;SC;submarine proponent;Medium;unknownminister;X
720112;Minister of Armament;에민 ;1908;1933;1999;SC;battle fleet proponent;Medium;unknownminister;X
720113;Minister of Armament;살리흐 훌루시 케즈라크 ;1908;1939;1999;SC;submarine proponent;Medium;7753;X
720114;Minister of Armament;마흐무트 무흐타르 ;1908;1935;1999;SC;battle fleet proponent;Medium;3768;X
720115;Minister of Armament;후르시드 ;1908;1934;1999;SC;submarine proponent;Medium;unknownminister;X
720116;Minister of Armament;쥐뤼크술루 마흐무드 ;1908;1933;1999;SC;battle fleet proponent;Medium;2557;X
720117;Minister of Armament;아흐메드 제말 ;1908;1922;1999;PA;submarine proponent;Medium;2548;X
720118;Minister of Armament;휘세인 라우프 ;1908;1964;1999;SC;submarine proponent;Medium;3760;X
720119;Minister of Armament;알리 리자 ;1908;1932;1999;SC;battle fleet proponent;Medium;unknownminister;X
720120;Minister of Armament;메흐메드 샤키르 ;1908;1933;1999;SC;submarine proponent;Medium;3777;X
720121;Minister of Armament;아흐메드 아브니 ;1908;1935;1999;SC;battle fleet proponent;Medium;2547;X
720122;Minister of Armament;메흐메트 에사트 뷜카트 ;1908;1952;1999;SC;submarine proponent;Medium;3776;X
720123;Minister of Armament;카라 메흐메드 사이드 ;1908;1940;1999;SC;battle fleet proponent;Medium;unknownminister;X
720124;Minister of Armament;자카지 아흐메드 함디 ;1908;1940;1999;SC;submarine proponent;Medium;unknownminister;X
720125;Minister of Armament;메흐메드 지야 ;1908;1930;1999;PA;administrative genius;Medium;unknownminister;X
720126;Minister of Armament;메흐메드 라기브 ;1908;1909;1999;PA;laissez-faire capitalist;Medium;unknownminister;X
720127;Minister of Armament;메흐메드 리파트 ;1908;1925;1999;SC;corrupt kleptocrat;Medium;unknownminister;X
720128;Minister of Armament;오스만 누리 베이 ;1908;1912;1999;SC;resource industrialist;Medium;unknownminister;X
720129;Minister of Armament;메흐메드 자비드 ;1908;1926;1999;SC;theoretical scientist;Medium;3775;X
720130;Minister of Armament;무스타파 나일 ;1908;1922;1999;SC;Oil baron;Medium;unknownminister;X
720131;Minister of Armament;압둘라만 베피크 ;1908;1956;1999;SC;Steel magnate;Medium;2546;X
720132;Minister of Armament;메흐메드 탈라트 ;1908;1921;1999;PA;Industrial chemist;Medium;3773;X
720133;Minister of Armament;메흐메드 아타 ;1908;1919;1999;SC;Planned economy proponent;Medium;unknownminister;X
720134;Minister of Armament;메흐메드 페브피크 비렌 ;1908;1956;1999;SC;Keynesian economy;Medium;3778;X
720135;Minister of Armament;파이크 뉘제트 ;1908;1944;1999;SC;Reformer;Medium;unknownminister;X
720136;Minister of Armament;아흐메드 레시트 레이 ;1908;1956;1999;SC;Construction magnate;Medium;unknownminister;X
720137;Minister of Armament;메흐메트 나지프 ;1908;1930;1999;SC;Balanced budget economy;Medium;3770;X
720138;Minister of Armament;라시드 ;1908;1930;1999;SC;Mixed economy;Medium;unknownminister;X
720139;Minister of Armament;휘세인 사브리 ;1908;1920;1999;SC;administrative genius;Medium;unknownminister;X
720140;Minister of Armament;압둘라 라미 ;1908;1936;1999;SC;laissez-faire capitalist;Medium;unknownminister;X
